"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MIBY0002","BAY CITY 5.3 N, MI US","2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.67",,,,,,,,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","2017",,"573","573","       140","        75","       42","        15","         8","       152","        43","       160","        16","-18","8","5.0","2.15","97","6097",,,"6097",,,,,,,,,,,"40.54",,"41.9","48.6","60.8","36.3",,,,,,,,
"USC00200718","BERGLAND DAM, MI US","2017",,"122","122",,,,,"        30","       186","        88","        86","         0","-24",,,,"87",,,,,,,,,,,,,,,"47.66",,,"40.0","50.2","29.7",,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","2017",,"666","666","       126","        74","       24","         6","         5","       130","        36","       163","        13","-10","6","4.0","1.77","95","5496",,,"5496",,,,,,,,,,,"34.90",,"16.0","51.0","62.0","40.0",,,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","2017",,"188","188","       207","       108","      123","        44","        21","       182","        80","        90","         1","-15","16","9.0","2.45","90","7988","70",,"7988","79","71","29",,"33","33","46",,"51","49","47.70",,"129.6","41.8","51.5","32.1",,,,,,,,
"USC00203421","GREENLAND 6 N, MI US","2017",,"93","93","       181","       113",,,"         4","       185","        79","        87","         1","-6",,,"1.60","91","7987",,,"7987",,,,,,,,,,,"42.68",,,"41.8","50.9","32.7",,,,,,,,
"US1MIBY0006","BAY CITY 2.2 WNW, MI US","2017",,,,"       132","        71",,,,,,,,,,,"3.76",,,,,,,,,,,,,,,,"38.23",,,,,,,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","2017",,,,"       153","        83",,,,,,,,,,,"3.28",,,,,,,,,,,,,,,,"40.88",,,,,,,,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","2017",,"611","611","       144","        95","       28","        23","         1","       120","        30","       154","         9","-5","14","8.0","3.15","93","5429",,,"5429",,,,,,,,,,,"48.48",,"62.8","50.7","60.7","40.6",,,,,,,,
"USC00204756","LEWISTON 3 W, MI US","2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
