"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00200552","BATTLE CREEK 5 NW, MI US","2016",,"767","767","       157","        85","       52","        29","         4","       119","        39","       160","        13","-6","10","8.7","3.25","94","5562",,,"5562",,,,,,,,,,,"37.38",,"90.7","51.3","61.7","40.9",,,,,,,,
"USC00203025","FREMONT 4 WSW, MI US","2016",,"663","663","       119","        75",,,"         0","       115","        40","       144","         1","9",,,"2.56","94","5859",,,"5859",,,,,,,,,,,"36.34",,,"50.6","59.5","41.6",,,,,,,,
"USC00201522","CHESANING, MI US","2016",,,,"       134","        71",,,,,,,,,,,"2.00",,,,,,,,,,,,,,,,"35.50",,,,,,,,,,,,,
"USC00203823","HILLSDALE, MI US","2016",,"743","743","       145","        79","       45","        17","         4","       130","        51","       151","        11","-5","8","7.8","3.08","93","6032",,,"6032",,,,,,,,,,,"39.64",,"44.0","49.8","60.0","39.7",,,,,,,,
"USC00205690","MUNISING, MI US","2016",,"214","214",,,,,"        10","       155","        80","        84","         1","-9",,,,"90","7769",,,"7769",,,,,,,,,,,"46.85",,,"43.6","50.8","36.4",,,,,,,,
"USC00206300","OWOSSO WWTP, MI US","2016",,"753","753","       142","        70",,,"         2","       138","        45","       146","        14","-8",,,"2.35","92","5862",,,"5862",,,,,,,,,,,"38.02",,,"49.8","59.8","39.8",,,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","2016",,,,"       155","        81",,,,,,,,,,,"1.58",,,,,,,,,,,,,,,,"36.62",,,,,,,,,,,,,
"USC00203391","GRAYLING, MI US","2016",,"467","467","       184","        91","      118","        40","        13","       171","        62","       135","         8","-20","17","6.0","0.93","94","7426",,,"7426",,,,,,,,,,,"31.40",,"116.2","45.8","56.8","34.8",,,,,,,,
"USC00208043","TAHQUAMENON FALLS STATE PARK, MI US","2016",,"203","203","       155","       104","      135","        54","        13","       199","        78","       110","         0","-11","26","10.0","3.02","89","8396",,,"8396",,,,,,,,,,,"41.72",,"178.8","42.3","52.9","31.8",,,,,,,,
"USC00205452","MILFORD GM PROVING GROUND, MI US","2016",,"833","833","       134","        73",,,"         6","       132","        50","       146","        20","-11",,,"2.00","95","5853",,,"5853",,,,,,,,,,,"33.83",,,"49.8","60.0","39.7",,,,,,,,
"USC00206780","QUINCY HILL, MI US","2016",,,,"       173","       105",,,,,,,,,,,"2.71",,,,,,,,,,,,,,,,"42.90",,,,,,,,,,,,,
"USC00207070","ROCKFORD, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIMB0033","ROSEVILLE 1.7 ENE, MI US","2016",,,,"       133","        68",,,,,,,,,,,"2.26",,,,,,,,,,,,,,,,"33.02",,,,,,,,,,,,,
"USC00204808","LEXINGTON WATER PLANT, MI US","2016",,"612","612","       132","        73",,,"         5","       128","        53","       122","         9","-3",,,"1.81","93","6246",,,"6246",,,,,,,,,,,"33.39",,,"48.2","56.6","39.7",,,,,,,,
"USC00203278","GOODRICH, MI US","2016",,"798","798","       138","        70",,,"         4","       137","        44","       146","        19","-8",,,"1.78","95","6034",,,"6034",,,,,,,,,,,"31.26",,,"49.8","59.7","39.8",,,,,,,,
"USC00201896","CROSS VILLAGE 1 E, MI US","2016",,"259","259","       138","        75","      112","        27","         2","       143","        59","        98","         0","-12","14","9.8","1.84","86","7016",,,"7016",,,,,,,,,,,"31.41",,"97.4","45.9","54.0","37.9",,,,,,,,
"USC00202984","FRANKFORT 2 NE, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00208972","WHITMORE LAKE 1 NW, MI US","2016",,"635","635","       126","        68",,,"         4","       136","        44","       137","         8","-9",,,"2.30","92","6023",,,"6023",,,,,,,,,,,"31.12",,,"49.3","59.6","39.0",,,,,,,,
"USC00201780","COPPER HARBOR FORT WILKINS, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIVB0002","GRAND JUNCTION 1.3 ENE, MI US","2016",,,,"       161","        97",,,,,,,,,,,"2.32",,,,,,,,,,,,,,,,"49.29",,,,,,,,,,,,,
"USC00208293","TROUT LAKE 1 SW, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIVB0004","PAW PAW 3.6 NNE, MI US","2016",,,,"       150","        88",,,,,,,,,,,"5.13",,,,,,,,,,,,,,,,"51.87",,,,,,,,,,,,,
"USR0000MSPI","SPINCICH LAKE MICHIGAN, MI US","2016",,,,,,,,,,,,,,,,,,"8502",,,"8502",,,,,,,,,,,,,,,,,,,,,,,,
"USC00203925","HOPKINS 1 N, MI US","2016",,"571","571",,,,,"         0","       122","        40","       149","         3","4",,,,"93",,,,,,,,,,,,,,,"41.48",,,"50.0","59.7","40.2",,,,,,,,
"USC00200417","BAD AXE, MI US","2016",,"686","686","       148","        71",,,"         6","       140","        58","       135","        10","-8",,,"1.42","92",,,,,,,,,,,,,,,"31.82",,,"48.5","57.6","39.4",,,,,,,,
"USC00200779","BIG RAPIDS WATER TREATMENT PLANT, MI US","2016",,"449","449","       158","        85","       81","        15","         8","       151","        52","       134","         5","-5","10","6.1","2.02","92","6683",,,"6683",,,,,,,,,,,"38.68",,"55.6","47.3","57.5","37.1",,,,,,,,
"USC00200770","BIG BAY 1 NW, MI US","2016",,"294","294","       184","        98","      133","        46","         7","       164","        76","        93","         1","-8","23","7.6","2.26","90",,,,,,,,,,,,,,,"39.17",,"142.4","43.9","52.1","35.8",,,,,,,,
"USC00201502","CHELSEA, MI US","2016",,"774","774","       132","        77","       39","        15","         4","       133","        46","       150","        15","-9","10","9.0","2.34","93","5953",,,"5953",,,,,,,,,,,"34.72",,"41.0","50.0","60.3","39.8",,,,,,,,
