"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MICP0014","SAULT STE. MARIE 2.2 E, MI US","2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42.40",,,,,,,,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","2020",,"628","628","       125","        65","       50","        10","         3","       178","        23","       139","        19","-5","5","5.8","2.77","95","6910",,,"6910",,,,,,,,,,,"41.44",,"31.9","48.1","60.0","36.2",,,,,,,,
"USC00200718","BERGLAND DAM, MI US","2020",,"317","317","       149","        88","      166","        45","        26","       206","        97","        93","         2","-24","36","9.8","2.34","91",,,,,,,,,,,,,,,"39.80",,"132.6","40.6","51.0","30.3",,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","2020",,"741","741","       114","        78","       25","        12","         0","       145","        16","       138","        21","8","5","4.0","2.48","97",,,,,,,,,,,,,,,"34.50",,"20.8","50.3","60.9","39.7",,,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","2020",,"302","302","       163","        85","      147","        41","         8","       206","        69","        95","         4","-19","28","15.0","2.56","93","8804","73","73","8804","84","75","29","31","33","31","45","47","50","48","40.20",,"128.4","42.2","52.0","32.3",,,,,,,,
"USC00203421","GREENLAND 6 N, MI US","2020",,"309","309","       150","        83","      147","        42","         1","       200","        71","        95","         5","-2","31","9.2","2.75","94","8464",,,"8464",,,,,,,,,,,"37.41",,"131.0","42.8","52.2","33.4",,,,,,,,
"US1MIAP0002","OSSINEKE 1.0 NNE, MI US","2020",,,,"       147","        76",,,,,,,,,,,"3.26",,,,,,,,,,,,,,,,"33.97",,,,,,,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","2020",,,,"       137","        75",,,,,,,,,,,"2.40",,,,,,,,,,,,,,,,"36.20",,,,,,,,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","2020",,"875","875","       112","        75","       22","         9","         0","       118","        16","       146","        28","5","6","6.0","2.10","94","5652",,,"5652",,,,,,,,,,,"39.76",,"21.9","51.7","61.1","42.3",,,,,,,,
"USC00205603","MORENCI, MI US","2020",,"783","783","       120","        77","       29","        10","         0","       155","        16","       143","        31","3","5","3.7","2.71","98",,,,,,,,,,,,,,,"35.99",,"24.1","50.2","62.0","38.4",,,,,,,,
