"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00203429","GREENVILLE 2 NNE, MI US","2019",,"492","492","       156","        99","       65","        19","        15","       170","        53","       140","         9","-20","10","7.0","1.93","92","7492",,,"7492",,,,,,,,,,,"48.54",,"66.8","46.0","57.6","34.4",,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","2019",,,,"       122","        81","       24","         5","         8","       142",,,,"-17","7","6.0","1.88",,"6456",,,"6456",,,,,,,,,,,"44.42",,"22.3",,,"38.9",,,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","2019",,"257","257","       185","       103","      152","        54","        40","       198","        97","        97","         2","-29","32","12.0","1.50","91","9495","71",,"9495","82","75","30",,"33","32","45",,"51","48","42.33",,"219.6","39.7","49.8","29.6",,,,,,,,
"USC00203421","GREENLAND 6 N, MI US","2019",,"187","187","       181","       112","      169","        58","        19","       187","        95","        90","         1","-5","48","14.0","1.20","90","9194",,,"9194",,,,,,,,,,,"43.64",,"260.9","40.4","49.6","31.2",,,,,,,,
"US1MIAP0002","OSSINEKE 1.0 NNE, MI US","2019",,,,"       172","        86",,,,,,,,,,,"1.75",,,,,,,,,,,,,,,,"38.73",,,,,,,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","2019",,,,"       176","       103",,,,,,,,,,,"2.30",,,,,,,,,,,,,,,,"44.22",,,,,,,,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","2019",,"796","796","       144","       109","       23","        15","         5","       124","        39","       143","        11","-18","17","8.0","2.07","95","6338",,,"6338",,,,,,,,,,,"50.96",,"44.7","50.1","59.3","40.9",,,,,,,,
"USC00205603","MORENCI, MI US","2019",,,,"       131","        86","       36","         9",,,,,,,"6","4.0","2.35",,,,,,,,,,,,,,,,"46.59",,"25.4",,,,,,,,,,,
"US1MIAP0001","ALPENA 1.6 SSW, MI US","2019",,,,"       150","        80",,,,,,,,,,,"1.74",,,,,,,,,,,,,,,,"39.28",,,,,,,,,,,,,
"USC00208443","VASSAR, MI US","2019",,"417","417","       138","        80","       53",,"        17","       152","        52","       120","         5","-14","8",,"4.32","94","7320",,,"7320",,,,,,,,,,,"39.80",,,"45.8","56.4","35.3",,,,,,,,
"USC00208202","TIPTON 2 WNW, MI US","2019",,,,"       130","        82",,,,,"        40","       134","         9",,,,"2.47","93",,,,,,,,,,,,,,,"43.76",,,,"58.1",,,,,,,,,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","2019","8.9","976","976","       126","        71",,,"         8","       119","        34","       152","        24","-15",,,"2.03","96","6040",,,"6040",,,,,,,,,,,"33.35",,,"51.2","60.8","41.7",,"       240","       270",,,"46.1","57.0",
"USC00201492","CHEBOYGAN, MI US","2019",,"223","223","       172","        84","      122","        39","        24","       168","        67","        87","         0","-25","22","7.0","2.00","88","8627",,,"8627",,,,,,,,,,,"37.13",,"90.4","41.8","50.5","33.1",,,,,,,,
"USC00208682","WATERSMEET 12 WSW, MI US","2019",,,,"       146","        87","      161","        40",,,,,,,"40","12.0","2.05",,,,,,,,,,,,,,,,"43.98",,"148.7",,,,,,,,,,,
"US1MIBN0005","BUCHANAN 1.3 WNW, MI US","2019",,,,"       134","        92",,,,,,,,,,,"2.16",,,,,,,,,,,,,,,,"48.24",,,,,,,,,,,,,
"US1MIBN0003","BUCHANAN 1.4 ESE, MI US","2019",,,,"       167","        95",,,,,,,,,,,"1.85",,,,,,,,,,,,,,,,"48.31",,,,,,,,,,,,,
"USW00014858","HANCOCK HOUGHTON CO AIRPORT, MI US","2019","10.1","203","203",,,,,"        24","       178","       101","        86","         1","-21",,,,"90","9424",,,"9424",,,,,,,,,,,,,,"39.7","47.9","31.5",,"       300","       290",,,"48.1","69.1",
"US1MINW0008","WHITE CLOUD 7.5 ENE, MI US","2019",,,,"       160","        95",,,,,,,,,,,"3.40",,,,,,,,,,,,,,,,"46.70",,,,,,,,,,,,,
"US1MIOK0035","WATERFORD 2.1 NW, MI US","2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.05",,,,,,,,,,,,,
"USC00205050","MANCHESTER, MI US","2019",,"619","619","       140","        83","       39","        11","        10","       140","        44","       140","         8","-18","9","8.5","1.61","96","6739",,,"6739",,,,,,,,,,,"39.00",,"35.5","48.2","58.1","38.3",,,,,,,,
"US1MICL0005","HARRISON 5.2 ESE, MI US","2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41.99",,,,,,,,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2019","6.9","449","449","       148","        74",,,"         8","       146","        61","       118","         4","-10",,,"2.04","94","7494",,,"7494",,,,,,,,,,,"33.78",,,"45.4","54.2","36.7",,"       280","       260",,,"40.0","59.9",
"US1MIIH0034","MASON 5.8 ENE, MI US","2019",,,,"       153","        74",,"        14",,,,,,,,"6.0","1.67",,,,,,,,,,,,,,,,"38.93",,"44.0",,,,,,,,,,,
"USW00094871","BENTON HARBOR, MI US","2019","8.1","662","662","       151","        91",,,"         3","       121","        40","       132","         7","-16",,,"1.51","93","6456",,,"6456",,,,,,,,,,,"43.93",,,"49.3","57.8","40.8",,"       260","       280",,,"46.1","63.1",
"USC00205065","MANISTEE 3 SE, MI US","2019",,"387","387","       165","        96",,,"         4","       150","        60","       117","         1","-8",,,"5.07","90","7261",,,"7261",,,,,,,,,,,"48.98",,,"45.6","53.7","37.6",,,,,,,,
