"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","45.0716","-83.56451","208.3","2013","6.9","330","330","       158","        77","      125","        21","        16","       175","        77","       114","         8","-17","12","5.4","1.61","97","7815",,,"7815",,,,,,,,,,,"31.67","61.9","42.8","52.9","32.8","       180","       270",,,"28.0","44.1",
"US1MILL0001","NORTHPORT 5.0 SSW, MI US","45.061489","-85.648567","273.7","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43.53",,,,,,,,,,,
"USC00202250","DOWAGIAC 1 W, MI US","41.9856","-86.132","225.6","2013",,"577","577","       147","        93","       63","        36","         3","       153","        56","       139","         7","-1","11","8.0","2.42","94","6739",,,"6739",,,,,,,,,,,"42.03","94.4","47.4","56.7","38.0",,,,,,,
"US1MIOK0047","BLOOMFIELD TOWNSHIP 3.1 SW, MI US","42.54516","-83.317685","262.7","2013",,,,"       116","        66",,,,,,,,,,,"1.48",,,,,,,,,,,,,,,,"32.37",,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","42.23113","-83.33121","191.9","2013","8.5","864","864","       144","        73","       59","        18","         1","       137","        51","       146","         7","-1","8","7.7","2.46","95","5993",,,"5993",,,,,,,,,,,"39.94","53.8","49.9","58.3","41.4","       230","       230",,,"46.1","55.9",
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","2013",,"580","580","       143","        71",,,"        10","       161","        58","       141","        10","-5",,,"1.93","94","6930",,,"6930",,,,,,,,,,,"36.19",,"46.8","57.2","36.3",,,,,,,
"US1MIOW0003","WALKER 3.2 W, MI US","42.98804","-85.8103","218.8","2013",,,,"       175","       104",,,,,,,,,,,"2.48",,,,,,,,,,,,,,,,"46.45",,,,,,,,,,,
"US1MIMB0022","UTICA 0.8 NNW, MI US","42.639577","-83.027232","198.4","2013",,,,"       137","        77",,,,,,,,,,,"2.59",,,,,,,,,,,,,,,,"38.24",,,,,,,,,,,
"USC00203268","GLADSTONE 4 NW, MI US","45.8806","-87.0911","225.9","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2013",,,,,,,,,,,,,,,,,,"6260",,,"6260",,,,,,,,,,,,,,,,,,,,,,
"USC00205567","MONTAGUE 4 NW, MI US","43.4614","-86.4175","198.1","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200552","BATTLE CREEK 5 NW, MI US","42.3678","-85.2634","281.3","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203025","FREMONT 4 WSW, MI US","43.44527","-86.02646","242.9","2013",,"381","381","       159","        89",,,"         5","       158","        73","       120","         3","-5",,,"2.04","91","7377",,,"7377",,,,,,,,,,,"43.71",,"44.9","53.5","36.2",,,,,,,
"USC00201522","CHESANING, MI US","43.1936","-84.1113","189.0","2013",,,,"       131","        83",,,,,,,,,,,"2.73",,,,,,,,,,,,,,,,"38.85",,,,,,,,,,,
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","2013",,"603","603","       141","        73","       36","        19","         7","       153","        61","       138","         7","-4","6","4.5","2.21","94","6919",,,"6919",,,,,,,,,,,"43.85","36.5","47.0","56.8","37.3",,,,,,,
"US1MIOW0002","HOLLAND 3.9 NNE, MI US","42.822957","-86.06784","188.1","2013",,,,"       171","        98",,,,,,,,,,,"2.28",,,,,,,,,,,,,,,,"43.47",,,,,,,,,,,
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2013",,"411","411","       145","        80",,,"         0","       153","        68","       105","         5","1",,,"1.33","93","7057",,,"7057",,,,,,,,,,,"32.69",,"45.3","53.2","37.4",,,,,,,
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2013",,"210","210","       204","       123",,,"        16","       180","       102","        65","         1","-9",,,"2.50","92","8715",,,"8715",,,,,,,,,,,"43.81",,"40.0","47.2","32.8",,,,,,,
"USC00206300","OWOSSO WWTP, MI US","43.0161","-84.18","222.5","2013",,,,"       159","        77",,,,,,,,,,,"3.65",,,,,,,,,,,,,,,,"39.45",,,,,,,,,,,
"USC00206663","PORT HOPE, MI US","43.9483","-82.7141","182.9","2013",,"346","346","       166","        79",,,"         3","       155","        69","        85","         4","-5",,,"1.81","97","7296",,,"7296",,,,,,,,,,,"33.97",,"44.5","51.9","37.0",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2013",,,,"       156","        79",,,,,,,,,,,"1.37",,,,,,,,,,,,,,,,"34.76",,,,,,,,,,,
"USC00203391","GRAYLING, MI US","44.6546","-84.6998","346.6","2013",,"370","370","       181","        96",,"        43","        20","       187","        88","       127","         7","-14",,"8.0","1.43","94","8193",,,"8193",,,,,,,,,,,"35.04","94.1","42.1","52.8","31.4",,,,,,,
