"STATION","NAME","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MISW0005","DURAND 6.2 WNW, MI US","2021",,,,,,,,"1.94",,,,,,,,,,,,,,,"36.91",,,,,,,,,,,
"USC00203628","HARRISVILLE 2 NNE, MI US","2021",,"260","       56","         8","-1","10","5.9","1.73","91","7464",,,,,,,,,,,,,"24.11","27.2","45.8","53.2","38.4",,,,,,,
"US1MIOW0049","HOLLAND 4.2 NW, MI US","2021",,,,,,,,"2.44",,,,,,,,,,,,,,,"30.15",,,,,,,,,,,
"US1MIOD0003","LUZERNE 2.4 NE, MI US","2021",,,,,,,,"1.72",,,,,,,,,,,,,,,"27.22",,,,,,,,,,,
"USR0000MWDO","WINDIGO MICHIGAN, MI US","2021",,"343",,,"-15",,,,"88","8188",,,,,,,,,,,,,,,"44.3","51.7","36.9",,,,,,,
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","2021",,"853","       32","        14","-8","10","2.6","1.98","92","6109",,,,,,,,,,,,,"40.30","29.1","51.1","59.9","42.3",,,,,,,
"USC00200230","ANN ARBOR U OF MICH, MI US","2021",,"821","       56","        20","-16","13","7.3","3.69","91","6151","71",,"74",,"25",,"26",,"48",,"50",,"48.17","54.3","50.9","61.5","40.2",,,,,,,
"USC00205488","MILLINGTON 3 SE, MI US","2021",,,"       66","        17",,"18","11.8","1.92",,,,,,,,,,,,,,,"35.03","45.8",,,,,,,,,,
"US1MIOW0044","HOLLAND 3.0 W, MI US","2021",,,,,,,,"1.74",,,,,,,,,,,,,,,"28.37",,,,,,,,,,,
"USC00200234","ARNOLD 2 N, MI US","2021",,,,"        16",,,"9.5",,,,,,,,,,,,,,,,,"53.5",,,,,,,,,,
"USC00203744","HERMAN, MI US","2021",,"269","      156","        45","-22","32","15.0","1.62","87","9182",,,,,,,,,,,,,"36.12","161.6","41.6","50.6","32.6",,,,,,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2021",,,,,,,,"2.39",,,,,,,,,,,,,,,"32.65",,,,,,,,,,,
"USC00204161","JACOBSVILLE, MI US","2021",,"192","      113","        28","-18","23","12.6","1.18","92","8940",,,,,,,,,,,,,"24.73","85.9","41.7","52.5","30.9",,,,,,,
"USC00207312","SALINE 4 SW, MI US","2021",,"836","       43","        12","-8","11","6.0","2.55","98","5890",,,,,,,,,,,,,"41.69","33.1","51.0","61.8","40.2",,,,,,,
"USC00203078","GARDEN CORNERS, MI US","2021",,,"      115","        24",,"19","10.5","1.58",,"8186",,,,,,,,,,,,,"27.67","97.6",,,,,,,,,,
"USW00014814","ALPENA WASTEWATER PLANT, MI US","2021",,"511","       74","        19","1","11","9.0","1.40","94","7309",,,,,,,,,,,,,"25.18","40.4","47.2","55.1","39.3",,,,,,,
"USC00204280","KEARSARGE, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00202308","DUNDEE, MI US","2021",,"868",,,"-4",,,"3.23","92","5853",,,,,,,,,,,,,"38.15",,"51.4","61.2","41.5",,,,,,,
"USC00205816","NEWBERRY CORRECTIONAL FACILITY, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200925","BOYNE FALLS, MI US","2021",,"813","       90","        28","-8","11","5.0","1.40","97","6933",,,,,,,,,,,,,"29.99","59.9","48.8","58.7","38.9",,,,,,,
"US1MIKN0032","GRAND RAPIDS 2.9 NW, MI US","2021",,,,,,,,"2.58",,,,,,,,,,,,,,,"41.54",,,,,,,,,,,
"US1MIOW0051","ALLENDALE 1.7 SE, MI US","2021",,,,,,,,"2.20",,,,,,,,,,,,,,,"40.30",,,,,,,,,,,
"USW00014815","BATTLE CREEK KELLOGG AIRPORT, MI US","2021","8.3","975",,,"-12",,,"2.15","92","6075",,,,,,,,,,,,,"37.08",,"51.5","60.6","42.5","       260","       260",,,"48.1","69.1",
