"STATION","NAME","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00202328","DURAND WWTP, MI US","2021",,,"       56","        18",,"12","6.0",,,,,,,,,,,,,,,,,"33.5",,,,,,,,,,
"US1MIMN0006","WELLSTON 3.9 WNW, MI US","2021",,,,,,,,"2.90",,,,,,,,,,,,,,,"37.94",,,,,,,,,,,
"USW00094893","IRON MOUNTAIN FORD AIRPORT, MI US","2021","6.5","410",,,"-27",,,"1.26","94","8244",,,,,,,,,,,,,"12.66",,"44.2","55.7","32.8","       330","       230",,,"38.9","67.1",
"USW00014838","MARQUETTE, MI US","2021",,,,,,,,,,"7859",,,,,,,,,,,,,,,,,,,,,,,,
"USC00201476","CHARLOTTE, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203530","HALFWAY LAKE, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203413","GREEN GARDEN NUMBER 2, MI US","2021",,,"      117","        27",,"11","6.4","1.00",,,,,,,,,,,,,,,"27.33","73.8",,,,,,,,,,
"USC00206007","NORTHPORT 2 W, MI US","2021",,"364","       93","        19","5","16","5.4","3.46","85","6908",,,,,,,,,,,,,"32.67","55.5","47.6","54.7","40.5",,,,,,,
"USR0000MSEN","SENEY MICHIGAN, MI US","2021",,"313",,,"-16",,,,"89","7884",,,,,,,,,,,,,,,"44.7","54.9","34.4",,,,,,,
"USC00204502","LAKE CITY EXPERIMENTAL FARM, MI US","2021",,"395","       99","        22","-15","13","7.2","1.80","91","7782",,,,,,,,,,,,,"37.35","62.9","45.4","56.6","34.1",,,,"20673.0",,,
"US1MIWY0052","LIVONIA 2.0 NE, MI US","2021",,,,,,,,"2.55",,,,,,,,,,,,,,,"41.11",,,,,,,,,,,
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2021",,"594","       89","        35","4","13","6.5","2.84","90","6774",,,,,,,,,,,,,"32.44","79.2","48.8","55.7","41.8",,,,,,,
"USC00207222","SAGINAW NUMBER 3, MI US","2021",,"812","       57","        15","-11","10","5.0","1.81","92","6384",,,,,,,,,,,,,"38.40","33.8","50.2","59.6","40.9",,,,,,,
"USW00014840","MUSKEGON CO AIRPORT, MI US","2021","8.7","815","       61","        16","-9","16","5.9","2.24","90","6057",,,,,,,,,,,,,"30.93","40.6","51.1","59.7","42.5","       180","       190",,,"38.9","63.1",
"USW00014840","MUSKEGON CO AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00206013","NWSFO GRAND RAPIDS, MI US","2021",,"800","       61","        23","-7","13","7.9","2.99","91","6283",,,,,,,,,,,,,"38.70","60.6","50.5","59.2","41.8",,,,,,,
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2021","6.7","392",,,"-21",,,"2.10","93","7680",,,,,,,,,,,,,"29.40",,"45.5","56.3","34.7","       230","       230",,,"38.0","64.0",
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MISC0014","PORT HURON 2.8 WSW, MI US","2021",,,,,,,,"4.09",,,,,,,,,,,,,,,"39.14",,,,,,,,,,,
"USC00203661","HASTINGS, MI US","2021",,"706","       73","        22","-13","15","6.0","2.80","91","6664",,,,,,,,,,,,,"38.26","51.7","49.4","59.7","39.1",,,,,,,
"USW00014845","SAGINAW MBS INTERNATIONAL AIRPORT, MI US","2021","9.2","807","       65","        16","-6","8","4.3","1.66","91","6306",,,,,,,,,,,,,"30.68","38.9","50.4","59.3","41.5","       240","       300",,,"45.0","63.1",
"USW00014845","SAGINAW MBS INTERNATIONAL AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00201361","CASS CITY 1 SSW, MI US","2021",,"560","       69","        14","-17","19","7.0","1.71","90","6952",,,,,,,,,,,,,"32.07","36.0","47.9","58.1","37.6",,,,,,,
"USC00202691","FARMINGTON, MI US","2021",,"743","       42","        11","-6","9","5.7","3.53","90","6587",,,,,,,,,,,,,"50.06","31.0","49.7","59.6","39.8",,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2021","6.7","412","      138","        34","-12","24","9.6","1.54","91","7592",,,,,,,,,,,,,"34.09","117.4","46.2","54.6","37.8","       230","       230",,,"36.9","57.9",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2021","6.9","682",,,"-19",,,"2.53","91",,,,,,,,,,,,,,"30.33",,"49.4","60.3","38.5","       250","       260",,,"42.9","61.1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00201845","COVINGTON 1 NNW, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200758","BEULAH 7 SSW, MI US","2021",,"542","       88","        16","-1","17","7.3","3.57","89","6878",,,,,,,,,,,,,"30.63","58.9","48.4","56.9","39.8",,,,,,,
"USW00004847","ADRIAN LENAWEE CO AIRPORT, MI US","2021","7.4","885",,,"-14",,,"2.73","92","6119",,,,,,,,,,,,,"37.68",,"51.1","60.5","41.7","       220","       260",,,"38.0","55.9",
"USW00004847","ADRIAN LENAWEE CO AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIMB0065","CHESTERFIELD 2.4 E, MI US","2021",,,,,,,,"2.56",,,,,,,,,,,,,,,"38.41",,,,,,,,,,,
"USC00200197","AMASA 1 W, MI US","2021",,"327","      125","        23","-46","22","12.5","1.79","94",,,,,,,,,,,,,,"26.87","84.1","41.6","54.6","28.6",,,,,,,
"USC00202375","EAST GRAND RAPIDS, MI US","2021",,"713","       68","        21","-6","14","6.1","1.91","92","6586",,,,,,,,,,,,,"38.82","59.1","49.5","59.5","39.6",,,,,,,
"USC00203585","HARBOR BEACH 1 SSE, MI US","2021",,"506","       71","        13","-2","15","6.8","1.63","92","6726",,,,,,,,,,,,,"32.77","37.2","48.3","55.8","40.9",,,,,,,
"US1MICX0004","CHARLEVOIX 4.3 SSE, MI US","2021",,,,,,,,"1.30",,,,,,,,,,,,,,,"31.79",,,,,,,,,,,
"USC00207820","STANDISH 4 NE, MI US","2021",,"557","       86","        14","-14","12","5.0","1.88","91","7038",,,,,,,,,,,,,"28.44","41.1","47.7","57.2","38.2",,,,,,,
"USC00205406","MICHIGAMME 3 WNW, MI US","2021",,,"      135","        30",,"23","8.5","1.65",,,,,,,,,,,,,,,"27.28","107.8",,,,,,,,,,
"US1MIIN0001","SARANAC 2.6 NE, MI US","2021",,,"       80","        21",,"16","5.7","2.45",,,,,,,,,,,,,,,"35.30","58.8",,,,,,,,,,
"USC00207277","ST JAMES 4 SSW BEAVER ISLAND, MI US","2021",,"315","       99","        24","-8","18","10.0","1.46","86","7298",,,,,,,,,,,,,"28.60","69.1","46.2","53.4","39.0",,,,,,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2021",,,"      103","        27",,"22","12.7","2.94",,,,,,,,,,,,,,,"35.71","84.3",,,,,,,,,,
"USC00202381","EAST JORDAN, MI US","2021",,"440","       86","        24","-11","12","7.1","1.20","90",,,,,,,,,,,,,,"28.67","75.1","46.2","56.0","36.3",,,,,,,
"USC00205097","MAPLE CITY 1 E, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00206982","RICHMOND 4 NNW, MI US","2021",,"851","       56","        16","-17","19","9.7","4.23","91","6407",,,,,,,,,,,,,"42.70","48.0","50.2","59.4","41.1",,,,,,,
"USC00206184","ONAWAY 4 N, MI US","2021",,"384","      101","        19","-9","13","6.2","2.52","91","7333",,,,,,,,,,,,,"30.69","64.4","46.3","56.9","35.8",,,,,,,
"USC00204320","KENT CITY 2 SW, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00202382","EAST JORDAN 2 NW, MI US","2021",,"427","      108","        26","-10","20","7.7","1.48","92","7796",,,,,,,,,,,,,"29.07","93.5","45.6","54.9","36.4",,,,,,,
"USC00205892","NILES, MI US","2021",,"1030",,,"-1",,,"2.57","92","5643",,,,,,,,,,,,,"39.23",,"52.8","62.3","43.3",,,,,,,
"USC00207275","ST. IGNACE, MI US","2021",,,,,,,,,,"7888",,,,,,,,,,,,,,,,,,,,,,,,
"USR0000MMIO","MIO MICHIGAN, MI US","2021",,"469",,,"-14",,,,"94","7579",,,,,,,,,,,,,,,"46.0","57.2","34.8",,,,,,,
"USW00004839","HOLLAND TULIP CITY AIRPORT, MI US","2021","7.8","845",,,"-10",,,"1.70","92","6048",,,,,,,,,,,,,"27.62",,"51.3","60.0","42.6","       240","       210",,,"46.1","80.1",
"USW00004839","HOLLAND TULIP CITY AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIMQ0019","ISHPEMING 7.2 SW, MI US","2021",,,"      128","        30",,"20","8.4","1.94",,,,,,,,,,,,,,,"30.18","100.9",,,,,,,,,,
"USC00203477","GROSSE POINTE FARMS, MI US","2021",,"1084","       42","         7","3","12","2.5",,"97",,,,,,,,,,,,,,,"15.1","51.8","60.1","43.4",,,,,,,
"USR0000MBRR","BEAR MICHIGAN, MI US","2021",,"417",,,"0",,,,"87","6896",,,,,,,,,,,,,,,"47.7","56.0","39.4",,,,,,,
"USC00205533","MIO WWTP, MI US","2021",,"560","       99","        17","-11","13","10.0","1.64","94","7323",,,,,,,,,,,,,"26.78","45.3","47.0","58.0","36.0",,,,,,,
"USC00200089","ALBERTA FORD FOR CENTER, MI US","2021",,,,,,,,,,"8711",,,,,,,,,,,,,,,,,,,,,,,,
"USC00201178","CADILLAC 9 AND 10 NEWS, MI US","2021",,,,,,,,,,"7572",,,,,,,,,,,,,"35.53",,,,,,,,,,,
"USC00201299","CARO WWTP, MI US","2021",,"742","       66","        15","-14","14","9.5","1.91","92","6652",,,,,,,,,,,,,"31.93","37.2","49.1","59.0","39.3",,,,,,,
"USC00206507","PETOSKEY, MI US","2021",,"333",,"        23","4",,"8.0","1.55","89","7308",,,,,,,,,,,,,"31.98","74.6","46.5","53.5","39.5",,,,,,,
"USC00208249","TRAVERSE CITY MUNSON, MI US","2021",,,,,,,,,,"7124",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208800","WEST BRANCH 3 SE, MI US","2021",,"494","       91","        19","-13","15","5.8","1.92","91","7428",,,,,,,,,,,,,"33.65","47.8","46.7","57.3","36.0",,,,,,,
"US1MIAN0020","HOLLAND 5.3 WSW, MI US","2021",,,,,,,,"2.98",,,,,,,,,,,,,,,"32.73",,,,,,,,,,,
"US1MIWY0033","LIVONIA 2.3 NNW, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,"42.85",,,,,,,,,,,
"USC00206510","PETOSKEY NCMC, MI US","2021",,"356","       95","        30","-9","13","6.1","1.46","90","7765",,,,,,,,,,,,,"33.73","80.9","45.3","53.9","36.8",,,,,,,
"USC00205662","CENTRAL MICHIGAN UNIVERSITY, MI US","2021",,,,,,,,,,"6365",,,,,,,,,,,,,,,,,,,,,,,,
"US1MIOK0063","FENTON 2.7 SSE, MI US","2021",,,,,,,,"3.25",,,,,,,,,,,,,,,"47.78",,,,,,,,,,,
"US1MIHR0010","BAY PORT 3.2 SSW, MI US","2021",,,,"        14",,,"5.0","1.43",,,,,,,,,,,,,,,"25.53","34.9",,,,,,,,,,
"US1MICS0005","NILES 3.5 E, MI US","2021",,,,,,,,"2.42",,,,,,,,,,,,,,,"42.30",,,,,,,,,,,
"USC00206839","RAPID RIVER 1 SW, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIMD0010","MIDLAND 1.5 NNE, MI US","2021",,,"       61","        11",,"15","5.5","2.21",,,,,,,,,,,,,,,"32.22","37.2",,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2021","8.9","864","       63","        22","-12","14","7.9","2.81","92","6222",,,,,,,,,,,,,"38.07","58.6","50.8","59.9","41.7","       260","       260",,,"46.1","62.0",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00204655","LAPEER WWTP, MI US","2021",,"790","       56","        18","-14","15","8.0","2.07","91","6457",,,,,,,,,,,,,"34.06","36.5","49.9","60.0","39.8",,,,,,,
"USC00202598","ENGADINE MDOT, MI US","2021",,"225",,,"-24",,,,"88","8197",,,,,,,,,,,,,,,"43.9","53.7","34.1",,,,,,,
"USC00204659","LAPEER 2 W, MI US","2021",,"812","       74","        15","-14","17","9.3","1.62","92","6477",,,,,,,,,,,,,"35.35","47.9","50.0","59.3","40.7",,,,,,,
"US1MIWY0125","CANTON 2.7 N, MI US","2021",,,,"        12",,,"4.3","3.12",,,,,,,,,,,,,,,"42.11","28.3",,,,,,,,,,
"USC00205073","MANISTIQUE WWTP, MI US","2021",,"125","      103","        23","-12","28","14.0","1.36","85","8485",,,,,,,,,,,,,"28.12","84.3","42.9","50.4","35.5",,,,,,,
"USC00201150","BURTON 4 N, MI US","2021",,"696","       63","        19","-17","16","8.3","2.17","91",,,,,,,,,,,,,,"37.10","52.2","49.1","59.8","38.3",,,,,,,
"USR0000MRAC","RACO MICHIGAN, MI US","2021",,"245",,,"-16",,,,"89","8381",,,,,,,,,,,,,,,"43.4","53.2","33.5",,,,,,,
"USR0000MBAL","BALDWIN MICHIGAN, MI US","2021",,"495",,,"-13",,,,"93","7208",,,,,,,,,,,,,,,"47.0","58.6","35.4",,,,,,,
"USW00054854","GAYLORD 9 SSW, MI US","2021",,"358",,,"-3",,,"2.25","89","7787",,,,,,,,,,,,,"33.97",,"45.3","53.7","37.0",,,,,,,
"USW00004854","GAYLORD OTSEGO CO AIRPORT, MI US","2021","6.9","576",,,"-9",,,"1.64","92","7391",,,,,,,,,,,,,"27.50",,"47.3","56.5","38.1","       230","       250",,,"45.0","69.1",
"USW00004854","GAYLORD OTSEGO CO AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00202804","FILION 5 NNW, MI US","2021",,"685","       70","        14","-1","14","5.1",,"91",,,,,,,,,,,,,,"26.06","41.2","50.6","59.0","42.3",,,,,,,
"USW00094850","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","2021",,"335","      129","        34","-18","22","7.9","1.30","91","8655",,,,,,,,,,,,,"28.11","119.3","43.1","52.3","33.8",,"       225",,,,"50.1",
"US1MIKN0093","GRANDVILLE 0.6 SSW, MI US","2021",,,,,,,,"1.84",,,,,,,,,,,,,,,"33.36",,,,,,,,,,,
"USC00200864","BLOOMINGDALE, MI US","2021",,,,,,,,,,"6389",,,,,,,,,,,,,,,,,,,,,,,,
"USC00204668","CALUMET TAMARACK, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00204425","K.I. SAWYER WWTP, MI US","2021",,,,,,,,,,"8098",,,,,,,,,,,,,,,,,,,,,,,,
"USC00207812","STAMBAUGH 2 SSE, MI US","2021",,"181","      118","        23","-36","17","8.5","1.93","93","9446",,,,,,,,,,,,,"26.52","64.6","40.4","53.2","27.7",,,,,,,
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2021","6.9","504","       93","        18","-8","10","10.7","1.25","94","7266",,,,,,,,,,,,,"26.93","54.6","46.9","57.1","36.7","       230","       230",,,"38.0","62.0",
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MILL0001","NORTHPORT 5.0 SSW, MI US","2021",,,,,,,,"2.56",,,,,,,,,,,,,,,"37.80",,,,,,,,,,,
"USC00204793","LINDEN WWTP, MI US","2021",,,"       67","        12",,"12","6.5","3.94",,"6724",,,,,,,,,,,,,"43.84","25.6",,,,,,,,,,
"USC00202250","DOWAGIAC 1 W, MI US","2021",,"810","       25","        11","-9","7","4.0","2.64","92","6139",,,,,,,,,,,,,"41.69","24.6","50.8","60.2","41.3",,,,,,,
"US1MIMM0008","MENOMINEE 4.1 NW, MI US","2021",,,,,,,,"1.28",,,,,,,,,,,,,,,"28.20",,,,,,,,,,,
"US1MIIS0005","SHEPHERD 3.7 SSE, MI US","2021",,,,,,,,"1.97",,,,,,,,,,,,,,,"34.72",,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2021","8.5","1082","       43","        14","-5","14","7.2","2.73","92","5756",,,,,,,,,,,,,"40.05","42.4","52.6","61.2","43.9","       250","       250",,,"48.1","64.0",
"USW00094847","DETROIT METRO AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIDL0004","GLADSTONE 2.1 SW, MI US","2021",,,,"        16",,,"11.7","1.38",,,,,,,,,,,,,,,"25.51","64.1",,,,,,,,,,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2021",,,,,,,,"3.36",,,,,,,,,,,,,,,"38.61",,,,,,,,,,,
"USC00206658","PONTIAC WWTP, MI US","2021",,"863","       47","        17","-3","11","7.0","2.80","91","6281",,,,,,,,,,,,,"43.94","36.1","50.7","59.8","41.6",,,,,,,
"USC00202851","FLINT 7 W, MI US","2021",,"703","       66","        20","-12","13","9.4","2.17","89","6703",,,,,,,,,,,,,"39.35","57.7","49.1","58.7","39.6",,,,,,,
"USC00205567","MONTAGUE 4 NW, MI US","2021",,,,,,,,,,"6534",,,,,,,,,,,,,,,,,,,,,,,,
"USC00200552","BATTLE CREEK 5 NW, MI US","2021",,"908","       51","        23","-10","15","6.6","2.34","91","5913",,,,,,,,,,,,,"40.96","58.0","51.5","61.3","41.6",,,,,,,
"USC00203025","FREMONT 4 WSW, MI US","2021",,,,,,,,"2.30",,,,,,,,,,,,,,,"29.58",,,,,,,,,,,
"USC00201522","CHESANING, MI US","2021",,,"       46","        14",,"10","6.5","2.42",,,,,,,,,,,,,,,"37.69","31.5",,,,,,,,,,
"US1MIAG0006","MUNISING 11.1 SSW, MI US","2021",,,,,,,,"1.58",,,,,,,,,,,,,,,"31.98",,,,,,,,,,,
"USC00203823","HILLSDALE, MI US","2021",,"778",,,"-14",,,"2.96","92","6480",,,,,,,,,,,,,"44.70",,"49.9","60.0","39.7",,,,,,,
"US1MIOW0002","HOLLAND 3.9 NNE, MI US","2021",,,"       50","        26",,"26","7.0","1.75",,,,,,,,,,,,,,,"34.00","69.7",,,,,,,,,,
"USC00205690","MUNISING, MI US","2021",,,"      151",,,"30",,"1.31",,,,,,,,,,,,,,,"38.80",,,,,,,,,,,
"USC00206300","OWOSSO WWTP, MI US","2021",,"775","       77","        16","-11","18","4.6","2.20","92","6464",,,,,,,,,,,,,"36.73","40.5","49.9","60.0","39.8",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","2021",,,"      107","        17",,"21","10.5","1.54",,,,,,,,,,,,,,,"32.49","66.2",,,,,,,,,,
"USC00203391","GRAYLING, MI US","2021",,"408","      100","        27","-24","17","12.0","1.71","92","8045",,,,,,,,,,,,,"31.97","65.6","44.8","55.7","34.0",,,,,,,
