"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MIBY0002","BAY CITY 5.3 N, MI US","43.666367","-83.90605","178.3","2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35.63",,,,,,,,,,,
"USC00201802","CORNELL 5 SE, MI US","45.8269","-87.1589","242.0","2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","2012",,,,,,,,,,,,,,,,,,"5830",,,"5830",,,,,,,,,,,,,,,,,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","46.3414","-86.9242","265.2","2012",,"411","411","       158","        68","      100","        26","         7","       171","        51","       122","         8","-9","28","11.0","1.47","93","7481","71","72","7481","83","75","31","33","33","33","47","49","53","51","31.92","92.8","45.6","56.0","35.3",,,,,,,
"USC00203421","GREENLAND 6 N, MI US","46.8736","-89.1006","241.1","2012",,"236","236","       153","        88",,,"         0","       172","        60","       109","         2","1",,,"1.87","91","7288",,,"7288",,,,,,,,,,,"34.91",,"44.8","54.6","34.9",,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","2012",,"871","871","       122","        68",,,"         0","       113","        17","       146","        24","2",,,"2.27","100","5425",,,"5425",,,,,,,,,,,"31.29",,"51.8","61.6","42.1",,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","2012",,,,,,,,,,,,,,,,,,"4856",,,"4856",,,,,,,,,,,,,,,,,,,,,,
"USC00205603","MORENCI, MI US","41.7216","-84.2147","234.7","2012",,,,"       116","        74","       21","         7",,,,,,,"5","3.4","1.51",,"5379",,,"5379",,,,,,,,,,,"26.92","23.0",,,,,,,,,,
"US1MIAP0001","ALPENA 1.6 SSW, MI US","45.051565","-83.44876","178.9","2012",,,,,,,"        16",,,,,,,,"6.5",,,,,,,,,,,,,,,,,"29.06","60.9",,,,,,,,,,
"US1MIBN0002","STEVENSVILLE 1.7 SSE, MI US","41.991137","-86.508585","187.8","2012",,,,"       132","        81",,,,,,,,,,,"1.91",,,,,,,,,,,,,,,,"34.83",,,,,,,,,,,
"USC00208443","VASSAR, MI US","43.3656","-83.5828","192.0","2012",,"600","600","       132","        66",,,"         4","       157","        29","       139","        23","-3",,,"1.86","99","6044",,,"6044",,,,,,,,,,,"29.65",,"49.3","60.5","38.1",,,,,,,
