"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MICP0014","SAULT STE. MARIE 2.2 E, MI US","2018",,,,"       156","        74",,"        33",,,,,,,,"10.9","2.07",,,,,,,,,,,,,,,,"31.42",,"109.1",,,,,,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","2018",,"699","699","       141","        86","       50",,"         9","       177","        40","       146","        23","-10","10",,"2.25","94","7133",,,"7133",,,,,,,,,,,"44.57",,,"47.0","58.6","35.5",,,,,,,,
"USC00200718","BERGLAND DAM, MI US","2018",,,,,,"      178","        49",,,,,,,"34","14.6",,,,,,,,,,,,,,,,,"40.11",,"175.1",,,,,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","2018",,"942","942","       139","        85",,"        12","         8","       159","        28","       152","        27","-7",,"10.0","2.62","96","6360",,,"6360",,,,,,,,,,,"44.46",,"35.6","49.9","60.3","39.5",,,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","2018",,"343","343","       161","        84","      163","        46","        20","       201","        99","       109","         4","-19","17","8.0","2.60","91","9159","71","71","9159","81","74","28","30","31","30","45","47","50","48","39.61",,"134.4","40.7","51.0","30.3",,,,,,,,
"USC00203421","GREENLAND 6 N, MI US","2018",,"212","212","       154","        87",,"        47","         8","       193","        94","       105","         2","-6",,"12.0","2.43","93","8896",,,"8896",,,,,,,,,,,"36.63",,"162.8","40.8","50.3","31.3",,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","2018",,,,"       149","        75",,,,,,,,,,,"1.70",,,,,,,,,,,,,,,,"32.49",,,,,,,,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","2018",,"838","838","       147","       101","       46","        24","         3","       143","        35","       147","        22","-6","22","8.0","2.10","96","6349",,,"6349",,,,,,,,,,,"47.28",,"59.1","49.9","58.9","40.8",,,,,,,,
"USC00204756","LEWISTON 3 W, MI US","2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00205603","MORENCI, MI US","2018",,,,"       140","        78","       39","        10",,,,,,,"8","3.4","2.09",,,,,,,,,,,,,,,,"42.76",,"30.0",,,,,,,,,,,
"USC00208443","VASSAR, MI US","2018",,"653","653","       145","        86",,,"        11","       169","        47","       134","        18","-14",,,"1.90","95","6876",,,"6876",,,,,,,,,,,"34.22",,,"46.7","57.0","36.3",,,,,,,,
"USC00208202","TIPTON 2 WNW, MI US","2018",,,,"       131","        80",,,,,"        34","       133","        18",,,,"1.70","95",,,,,,,,,,,,,,,"36.15",,,,"59.3",,,,,,,,,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","2018","8.7","1211","1211","       131","        76",,,"         5","       136","        24","       147","        31","-7",,,"2.48","98","6017",,,"6017",,,,,,,,,,,"37.13",,,"51.8","61.2","42.3",,"       230","       260",,,"44.1","57.9",
"USC00201492","CHEBOYGAN, MI US","2018",,"418","418","       151","        76","      113","        24","        13","       181","        74","       100","         7","-16","12","8.0","2.35","94","8211",,,"8211",,,,,,,,,,,"29.35",,"66.5","43.4","52.0","34.8",,,,,,,,
"USC00208682","WATERSMEET 12 WSW, MI US","2018",,,,"       117","        74","      170","        35",,,,,,,"31","10.0","2.36",,,,,,,,,,,,,,,,"37.48",,"98.0",,,,,,,,,,,
"US1MIBN0005","BUCHANAN 1.3 WNW, MI US","2018",,,,"       146","        93",,,,,,,,,,,"2.26",,,,,,,,,,,,,,,,"48.01",,,,,,,,,,,,,
"US1MIBN0004","NILES 2.7 W, MI US","2018",,,,"       171","       105",,,,,,,,,,,"2.44",,,,,,,,,,,,,,,,"52.28",,,,,,,,,,,,,
"US1MIBN0003","BUCHANAN 1.4 ESE, MI US","2018",,,,"       167","        99",,,,,,,,,,,"2.42",,,,,,,,,,,,,,,,"52.23",,,,,,,,,,,,,
"USW00014858","HANCOCK HOUGHTON CO AIRPORT, MI US","2018","9.6","268","268",,,,,"        13","       190","       110","       103","         0","-11",,,,"89","9096",,,"9096",,,,,,,,,,,,,,"40.6","49.0","32.3",,"       310","       300",,,"51.0","66.0",
"US1MINW0008","WHITE CLOUD 7.5 ENE, MI US","2018",,,,"       147","        77",,,,,,,,,,,"2.71",,,,,,,,,,,,,,,,"43.16",,,,,,,,,,,,,
"USC00205050","MANCHESTER, MI US","2018",,"834","834","       142","        83","       48","        16","         8","       157","        36","       144","        16","-10","11","6.5","1.66","95","6586",,,"6586",,,,,,,,,,,"36.31",,"36.4","48.6","58.3","39.0",,,,,,,,
"US1MICL0005","HARRISON 5.2 ESE, MI US","2018",,,,"       150","        76",,,,,,,,,,,"1.56",,,,,,,,,,,,,,,,"36.00",,,,,,,,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2018","6.3","815","815","       143","        69",,,"         2","       160","        54","       130","        16","-4",,,"2.11","98","7157",,,"7157",,,,,,,,,,,"29.05",,,"47.5","55.8","39.1",,"       270","       280",,,"40.9","57.0",
"US1MIIH0032","WILLIAMSTON 4.0 ESE, MI US","2018",,,,"       143","        79",,,,,,,,,,,"1.55",,,,,,,,,,,,,,,,"35.10",,,,,,,,,,,,,
"US1MIIH0034","MASON 5.8 ENE, MI US","2018",,,,"       143","        80",,"        19",,,,,,,,"5.0","2.06",,,,,,,,,,,,,,,,"36.58",,"52.7",,,,,,,,,,,
"USC00201818","CORUNNA 2 NE, MI US","2018",,,,,,,,,,,,,,,,,,"6997",,,"6997",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094871","BENTON HARBOR, MI US","2018","7.2","875","875","       158","        89",,,"         1","       138","        31","       141","        17","-5",,,"2.21","96","6240",,,"6240",,,,,,,,,,,"40.76",,,"50.0","58.3","41.8",,"       240","       300",,,"38.0","50.1",
"USC00205065","MANISTEE 3 SE, MI US","2018",,"657","657","       136","        81",,,"         1","       155","        54","       133","         3","0",,,"1.93","93","6918",,,"6918",,,,,,,,,,,"40.30",,,"47.4","55.3","39.4",,,,,,,,
"USC00206398","PAULDING, MI US","2018",,"254","254","       156","        73","      174","        43","        41","       205","       111","       110","         2","-27","30","10.3","2.53","94",,,,,,,,,,,,,,,"35.61",,"125.4","38.4","49.6","27.2",,,,,,,,
"US1MIMR0009","CARLETON 2.5 S, MI US","2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39.70",,,,,,,,,,,,,
"USC00206158","OLD MISSION 3 SSW, MI US","2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00207364","SAULT STE MARIE, MI US","2018",,"404","404","       165","        78","      169","        34","        33","       194","       100","       111","         7","-26","22","7.1","2.66","94","9204",,,"9204",,,,,,,,,,,"31.36",,"116.4","40.6","50.9","30.4",,,,,,,,
"US1MIMR0004","MONROE 3.0 S, MI US","2018",,,,"       143","        85",,,,,,,,,,,"2.09",,,,,,,,,,,,,,,,"34.87",,,,,,,,,,,,,
"USC00204090","IRON MTN KINGSFORD WWTP, MI US","2018",,"511","511","        93","        71",,,"        24","       195","        96","       121","         9","-23",,,"3.15","95","8746",,,"8746",,,,,,,,,,,"34.73",,,"42.1","52.6","31.5",,,,,,,,
"USC00203529","HALE LOUD DAM, MI US","2018",,"542","542",,,"       80","        14","        14","       178","        77","       126","        11","-13","9","6.0",,"96",,,,,,,,,,,,,,,"37.82",,"34.4","44.5","54.2","34.8",,,,,,,,
"USC00203528","HALE 5 SSW NUMBER 2, MI US","2018",,,,,,,,,,,,,,,,,,"8254",,,"8254",,,,,,,,,,,,,,,,,,,,,,,,
