"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00201802","CORNELL 5 SE, MI US","45.8269","-87.1589","242.0","2007",,"346","346","       104","        66","       88","        13","        23","       161","        83","       122","         7","-16","12","12.0","1.62","93","7724",,,"7724",,,,,,,,,,,"30.64","59.1","43.7","54.4","33.0",,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","2007",,"751","751","       142","        69","       93","        34","        15","       156","        65","       162","        27","-15","11","7.8","1.08","96","6875",,,"6875",,,,,,,,,,,"27.57","107.1","47.9","59.7","36.0",,,,,,,
"USC00200716","BERKLEY, MI US","42.4933","-83.175","202.7","2007",,,,"       118","        61","       57","         8",,,"        53","       157","        20",,"8","6.9","1.58","95",,,,,,,,,,,,,,,"33.76","34.1",,"60.2",,,,,,,,
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","2007",,"287","287","       195","        91",,"        51","        48","       179","        99","       116","         4","-17",,"12.7","2.04","92",,,,,,,,,,,,,,,"43.33","187.1","40.8","52.5","29.1",,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","2007",,"695","695","       120","        73","       53","        15","         9","       132","        57","       161","        26","-10","7","4.5","2.02","95","5934",,,"5934",,,,,,,,,,,"38.81","33.2","49.1","59.9","38.3",,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","46.3414","-86.9242","265.2","2007",,"293","293","       169","        84",,"        54","        28","       189","        87","       120","        11","-18",,"8.0","1.87","96","8495",,,"8495",,,,,,,,,,,"35.12","167.3","41.8","53.8","29.7",,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","2007",,"963","963","       124","        84",,,"         0","       125","        45","       161","        30","1",,,"2.45","96",,,,,,,,,,,,,,,"39.24",,"51.8","61.6","42.0",,,,,,,
"USC00205603","MORENCI, MI US","41.7216","-84.2147","234.7","2007",,"798","798","       124","        75","       59","        12","        12","       141","        53","       166","        22","-7","10","6.4","2.26","97",,,,,,,,,,,,,,,"41.22","36.5","49.5","60.4","38.7",,,,,,,
"USC00208443","VASSAR, MI US","43.3656","-83.5828","192.0","2007",,"558","558","       131","        69","       84","        22","        15","       156","        63","       148","        13","-10","7","4.0","1.55","96",,,,,,,,,,,,,,,"30.76","43.1","47.0","58.2","35.8",,,,,,,
"USC00208202","TIPTON 2 WNW, MI US","42.0283","-84.1108","295.7","2007",,"678","678","       147","        74","       66","        13","         9","       138","        61","       157","        12","-12","9","6.5","1.97","95","6420",,,"6420",,,,,,,,,,,"38.95","41.5","48.9","59.3","38.5",,,,,,,
