"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","2006",,"524","524","       140","        75","       39","        18","         2","       162","        25","       138","        14","-6","6","7.6","2.31","96","6522",,,"6522",,,,,,,,,,,"46.05","49.1","48.6","59.9","37.3",,,,,,,
"USC00200716","BERKLEY, MI US","42.4933","-83.175","202.7","2006",,,,"       154","        85","       14","         3",,,"        22","       138","        12",,"3","2.0","1.96","98","5928",,,"5928",,,,,,,,,,,"38.21","8.1",,"60.5",,,,,,,,
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","2006",,,,"       195","        74",,"        52",,,,,,,,"23.4","2.43",,,,,,,,,,,,,,,,"34.07","199.5",,,,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","2006",,"638","638","       134","        86","        4","         4","         0","       123","        14","       144","        12","2","2","2.0","3.20","95","5766",,,"5766",,,,,,,,,,,"45.55","5.5","50.5","61.0","40.0",,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","46.3414","-86.9242","265.2","2006",,"213","213","       163","        86","      110","        37","        16","       206","        57","       111","         8","-20","16","12.0","2.90","97","8575",,,"8575",,,,,,,,,,,"31.33","106.3","42.1","54.5","29.7",,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","2006",,,,"        98","        82",,"        15","         0","       105",,,,"5",,"5.0","2.00",,,,,,,,,,,,,,,,"39.08","30.3",,,"42.6",,,,,,,
"USC00205603","MORENCI, MI US","41.7216","-84.2147","234.7","2006",,,,,,,,,,,,,,,,,,"5858",,,"5858",,,,,,,,,,,,,,,,,,,,,,
"USC00208443","VASSAR, MI US","43.3656","-83.5828","192.0","2006",,,,"       138","        84","       55","        13",,,,,,,"7","6.7","3.00",,,,,,,,,,,,,,,,"47.13","33.2",,,,,,,,,,
"USC00208202","TIPTON 2 WNW, MI US","42.0283","-84.1108","295.7","2006",,"573","573","       158","        86","       15","         3","         0","       131","        19","       140","         8","1","3","3.0","2.03","95","6038",,,"6038",,,,,,,,,,,"38.39","12.9","50.0","60.0","39.9",,,,,,,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23666","-83.52638","215.7","2006","9.2","670","670","       161","        79",,,"         0","       122","        22","       141","        12","3",,,"1.40","96","5969",,,"5969",,,,,,,,,,,"38.31",,"50.6","60.4","40.8","       300","       290",,,"48.1","55.9",
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","2006",,"408","408","       139","        69","       91","        24","         3","       151","        41","       106","         9","-4","16","11.0","2.70","97","7092",,,"7092",,,,,,,,,,,"32.81","82.1","46.1","55.1","37.1",,,,,,,
"USC00207350","SANDUSKY, MI US","43.4194","-82.8191","235.9","2006",,"469","469","       113","        77",,"         7","         2","       132","        36","       117","         8","-3",,"5.0","1.58","97",,,,,,,,,,,,,,,"33.50","25.2","48.0","56.7","39.3",,,,,,,
"USW00014858","HANCOCK HOUGHTON CO AIRPORT, MI US","47.16594","-88.48076","323.9","2006","9.4","230","230","       132","        58",,,"        10","       176","        80","        91","         3","-13",,,"2.99","96","8361",,,"8361",,,,,,,,,,,"23.18",,"42.4","50.8","34.1","       270","       280",,,"47.0","66.0",
"USC00205050","MANCHESTER, MI US","42.1508","-84.0236","294.1","2006",,,,"       138","        84",,,,,"        18","       136","        11",,,,"3.01","95",,,,,,,,,,,,,,,"40.37",,,"60.2",,,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","2006","6.7","481","481","       151","        74",,,"         0","       140","        35","       121","        10","1",,,"2.01","100","6543",,,"6543",,,,,,,,,,,"29.26",,"47.9","56.7","39.1","       290","       290",,,"44.1","59.1",
"USC00201818","CORUNNA 2 NE, MI US","42.9986","-84.0744","232.3","2006",,"503","503","       137","        79",,,"         2","       143","        29","       128","        10","-1",,,"2.64","96",,,,,,,,,,,,,,,"39.51",,"48.7","58.9","38.5",,,,,,,
"USR0000MELK","ELKHORN MICHIGAN, MI US","45.9536","-86.4053","219.5","2006",,"227","227",,,,,"         6","       171","        51","       106","         2","-11",,,,"94","7584",,,"7584",,,,,,,,,,,,,"44.4","54.3","34.5",,,,,,,
"USW00094871","BENTON HARBOR, MI US","42.12894","-86.41518","195.4","2006","7.4","518","518","       163","        81",,,"         0","       113","        18","       120","        10","5",,,"2.21","96","6054",,,"6054",,,,,,,,,,,"40.37",,"50.1","59.1","41.1","       260","       220",,,"36.0","48.1",
"USW00014859","GRAND MARAIS, MI US","46.66667","-85.95","190.2","2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200166","ALPENA 10 NW, MI US","45.1627","-83.5905","225.6","2006",,"360","360","       138","        85","      103","        25","         6","       174","        47","       113","         9","-3","28","17.4","1.42","95","7237",,,"7237",,,,,,,,,,,"38.43","93.8","45.3","55.4","35.2",,,,,,,
"USC00200842","BLISSFIELD 1 NNE, MI US","41.84","-83.8608","210.3","2006",,"614","614","       140","        86","        2","         4","         0","       128","        20","       136","         8","4","3","2.7","2.96","93","5966",,,"5966",,,,,,,,,,,"45.43","8.1","50.4","59.9","40.9",,,,,,,
"USC00205065","MANISTEE 3 SE, MI US","44.2113","-86.2938","204.2","2006",,"483","483",,,,,"         1","       120","        30","       122","         4","0",,,,"94","6193",,,"6193",,,,,,,,,,,,,"49.2","57.5","41.0",,,,,,,
"USC00206158","OLD MISSION 3 SSW, MI US","44.9215","-85.5161","199.9","2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00207364","SAULT STE MARIE, MI US","46.4866","-84.4089","192.0","2006",,"245","245","       166","        85","      113","        31","        16","       179","        69","       110","         6","-8","27","6.4","1.36","93","8131",,,"8131",,,,,,,,,,,"29.71","96.1","43.1","53.0","33.2",,,,,,,
"USC00204090","IRON MTN KINGSFORD WWTP, MI US","45.7858","-88.0841","326.4","2006",,"408","408","       116","        59","      102","        14","        10","       178","        58","       126","        12","-19","20","7.0","2.41","100","7759",,,"7759",,,,,,,,,,,"28.45","47.2","44.4","55.4","33.5",,,,,,,
"USC00203529","HALE LOUD DAM, MI US","44.4633","-83.7216","221.9","2006",,,,,,,,,,"        36","       113","         8",,,,,"97","6648",,,"6648",,,,,,,,,,,,,,"56.0",,,,,,,,
"USC00203769","HESPERIA 4 WNW, MI US","43.5908","-86.1056","237.7","2006",,"449","449","       134","        88",,"        16","         2","       146","        25","       125","         9","-3",,"8.6","2.26","94","6641",,,"6641",,,,,,,,,,,"44.78","51.3","47.9","58.4","37.3",,,,,,,
"USW00014826","FLINT FCWOS, MI US","42.96684","-83.74996","234.8","2006","8.5","490","490","       136","        77","       35","        14","         1","       135","        33","       128","         7","0","5","4.5","1.80","95","6375",,,"6375",,,,,,,,,,,"38.49","35.1","48.8","58.1","39.6","       310","       310",,,"40.9","53.0",
"USW00014828","GLADWIN, MI US","43.9758","-84.4908","236.2","2006",,"393","393","       129","        85","       61","         9","         2","       149","        26","       133","         9","-2","18","8.0","1.62","96","6746",,,"6746",,,,,,,,,,,"41.17","37.5","47.7","58.2","37.1",,,,,,,
"USC00201343","CASEVILLE, MI US","43.9416","-83.2669","181.4","2006",,"453","453",,,,,"         0","       124","        32","       122","        10","1",,,,"95","6380",,,"6380",,,,,,,,,,,,,"48.1","57.1","39.0",,,,,,,
"USC00201225","CANTON, MI US","42.32","-83.4561","205.4","2006",,"934","934","       130","        88","       13","         3","         0","       112","         8","       156","        22","4","3","1.9","2.36","99","5253",,,"5253",,,,,,,,,,,"43.51","6.9","53.1","63.8","42.5",,,,,,,
"USC00201468","CHARLEVOIX, MI US","45.3172","-85.2672","180.7","2006",,"418","418","       144","        77",,"        27","         0","       120","        43","       101","         5","7",,"9.0","2.50","97","6651",,,"6651",,,,,,,,,,,"33.76","89.0","47.7","54.5","40.9",,,,,,,
"USC00205822","NEWPORT 4 SSE, MI US","41.9497","-83.28","176.2","2006",,"716","716","       148","        92","        7","         2","         0","       121","        16","       133","        10","1","2","2.4","1.89","96","5981",,,"5981",,,,,,,,,,,"41.85","8.7","50.6","60.1","41.1",,,,,,,
"USC00208779","WEST BLOOMFIELD, MI US","42.5413","-83.343","271.3","2006",,,,"       148","        89","       23","         7",,,,,,,"5","4.6","2.09",,,,,,,,,,,,,,,,"35.08","20.5",,,,,,,,,,
"USC00203096","GAYLORD, MI US","45.0332","-84.7113","401.7","2006",,"363","363","       103","        78","      109","        48","         3","       159","        61","       122","         9","-2","29","11.0","1.73","96","7044",,,"7044",,,,,,,,,,,"33.13","151.4","45.8","55.0","36.5",,,,,,,
"USC00203099","GAYLORD 9 SSW, MI US","44.90715","-84.71891","447.4","2006",,"321","321","       177","        93","      118","        37","         2","       168","        76","       113","         5","-2","25","10.1","1.66","94","7578",,,"7578",,,,,,,,,,,"39.66","156.7","44.9","53.3","36.5",,,,,,,
"USW00014833","JACKSON REYNOLDS FIELD, MI US","42.26373","-84.45644","295.9","2006","7.8","524","524","       138","        77",,,"         1","       122","        28","       134","         5","0",,,"1.93","93","6133",,,"6133",,,,,,,,,,,"39.15",,"49.9","59.2","40.6","       220","       220",,,"36.9","49.0",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2006","8.5","590","590","       142","        80","       39","        10","         1","       130","        30","       127","         9","-1","5","3.6","1.36","94","6151",,,"6151",,,,,,,,,,,"37.02","26.9","49.5","58.3","40.7","       280","       270",,,"42.9","59.1",
"USW00094898","PORT HOPE, MI US","44.021772","-82.792932","180.0","2006","7.4","458","458","       141","        71",,,"         0","       105","        31","        92","         8","4",,,"2.02","94","6282",,,"6282",,,,,,,,,,,"32.71",,"48.7","55.0","42.3","        60","        60",,,"40.0","49.0",
"USC00207690","SOUTH HAVEN, MI US","42.4014","-86.2826","179.8","2006",,"722","722",,,,"         2","         0","        82","        12","       125","         3","5",,"6.5",,"94","5428",,,"5428",,,,,,,,,,,,"10.6","52.3","59.5","45.0",,,,,,,
"USW00094899","COPPER HARBOR, MI US","47.467386","-87.875032","185.0","2006","9.8","256","256","       120","        54",,,"         1","       139","        58","        73","         1","-1",,,"1.49","91","7630",,,"7630",,,,,,,,,,,"18.46",,"44.7","51.1","38.3","        30","        40",,,"48.1","55.9",
"USC00202328","DURAND WWTP, MI US","42.9269","-83.9894","234.7","2006",,"632","632","       134","        87","       28","         4","         2","       130","        24","       134","        11","-10","4","4.4","2.26","96",,,,,,,,,,,,,,,"37.06","17.3","49.5","59.4","39.6",,,,,,,
"USW00094893","IRON MOUNTAIN FORD AIRPORT, MI US","45.81339","-88.11292","343.2","2006","6.5","338","338","       143","        56",,,"        10","       185","        64","       124","        11","-20",,,"1.45","99","7949",,,"7949",,,,,,,,,,,"25.08",,"43.8","54.9","32.8","       330","       320",,,"33.1","46.1",
"USW00014838","MARQUETTE, MI US","46.5458","-87.3795","186.8","2006",,"392","392","       138","        54","       93","        15","         2","       132","        61","        81","         5","-9","16","10.5","5.12","98","7342",,,"7342",,,,,,,,,,,"25.54","61.5","45.6","52.4","38.9",,,,,,,
"USC00201476","CHARLOTTE, MI US","42.5499","-84.825","274.9","2006",,"541","541",,,,,"         2","       124","        29","       128","        10","-4",,,,"95",,,,,,,,,,,,,,,,,"49.2","58.5","39.9",,,,,,,
"USC00200146","ALMA, MI US","43.38686","-84.64818","221.9","2006",,"495","495","       139","        82","       54","         7","         2","       152","        24","       136","        10","-3","8","7.8","2.26","96","6464",,,"6464",,,,,,,,,,,"40.32","25.1","48.3","59.0","37.7",,,,,,,
"USC00201238","CAPAC 2 N, MI US","43.048","-82.9238","248.4","2006",,,,,,"       49","        10",,,,,,,"7","6.5",,,,,,,,,,,,,,,,,,"31.5",,,,,,,,,,
"USC00202445","EAU CLAIRE 4 NE, MI US","42.0153","-86.243","256.0","2006",,"840","840","       132","        79","       30","        15","         0","       102","        17","       146","        17","1","6","5.0","2.43","96","5538",,,"5538",,,,,,,,,,,"43.98","37.5","52.4","61.2","43.6",,,,,,,
"USC00206007","NORTHPORT 2 W, MI US","45.1322","-85.6472","227.4","2006",,,,"       156","        71",,"        19","         0","       124","        41","       102","         3","2",,"11.0","2.48","94","6649",,,"6649",,,,,,,,,,,"33.80","71.7","47.1","54.3","39.9",,,,,,,
"USR0000MSEN","SENEY MICHIGAN, MI US","46.2403","-85.9428","221.3","2006",,"227","227",,,,,"         4","       170","        54","       106","         3","-5",,,,"94","7413",,,"7413",,,,,,,,,,,,,"44.3","53.9","34.8",,,,,,,
"USC00204502","LAKE CITY EXPERIMENTAL FARM, MI US","44.3088","-85.205","374.9","2006",,"303","303","       165","        81","       90","        28","         7","       172","        33","       118","         5","-8","18","6.0","1.88","94","7354",,,"7354",,,,,,,,,,,"40.82","78.7","45.6","55.8","35.5",,,,,,,
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","44.883","-85.6752","249.9","2006",,"542","542","       152","        74","       70","        30","         0","       120","        46","       117","         8","4","13","9.5","2.00","99","6392",,,"6392",,,,,,,,,,,"30.35","88.6","48.7","55.9","41.6",,,,,,,
"USC00207222","SAGINAW NUMBER 3, MI US","43.4122","-83.9561","182.9","2006",,"725","725","       122","        81","       42","        10","         2","       120","        16","       138","        12","-1","6","6.2","2.39","97","5829",,,"5829",,,,,,,,,,,"42.82","26.3","50.5","60.7","40.4",,,,,,,
"USW00014840","MUSKEGON CO AIRPORT, MI US","43.17111","-86.23685","190.3","2006","9.6","565","565","       140","        87","       30","        16","         0","       116","        25","       118","         2","2","8","6.2","2.92","91","6148",,,"6148",,,,,,,,,,,"40.02","41.5","49.7","57.7","41.6","       120","       290",,,"36.0","51.9",
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","45.5644","-84.79291","215.3","2006","7.2","301","301","       137","        62",,,"        13","       170","        48","       123","         9","-13",,,"1.58","94","7619",,,"7619",,,,,,,,,,,"27.46",,"44.7","55.7","33.7","       310","       260",,,"38.9","51.9",
