"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00201178","CADILLAC 9 AND 10 NEWS, MI US","2015",,,,,,,,,,,,,,,,,,"8613",,,"8613",,,,,,,,,,,,,,,,,,,,,,,,
"USC00201299","CARO WWTP, MI US","2015",,"518","518","       136","        69",,,"        23","       134","        61","       129","         1","-26",,,"3.32","90","7546",,,"7546",,,,,,,,,,,"32.70",,,"46.4","56.4","36.5",,,,,,,,
"USC00206507","PETOSKEY, MI US","2015",,"325","325","       151","        84",,"        40","        24","       129","        73","        90","         0","-21",,"10.0","1.75","89","8566",,,"8566",,,,,,,,,,,"34.52",,"83.2","43.7","51.4","36.0",,,,,,,,
"USC00208249","TRAVERSE CITY MUNSON, MI US","2015",,"420","420","       154","        75","       83","        20","        18","       135","        72","       113","         1","-18","19","7.8","1.75","92","8114",,,"8114",,,,,,,,,,,"32.00",,"74.7","45.4","54.4","36.4",,,,,,,,
"USC00208800","WEST BRANCH 3 SE, MI US","2015",,"327","327","       135","        76","       75","        14","        38","       169","        71","       127","         2","-27","10","4.4","1.43","92","8616",,,"8616",,,,,,,,,,,"33.79",,"30.1","43.8","55.1","32.6",,,,,,,,
"USC00206510","PETOSKEY NCMC, MI US","2015",,"334","334","       166","        86","       81","        31","        35","       156","        82","       111","         1","-26","15","7.7","1.82","91","9070",,,"9070",,,,,,,,,,,"35.81",,"88.3","42.9","52.1","33.7",,,,,,,,
"US1MIGR0001","BRECKENRIDGE 0.2 ESE, MI US","2015",,,,"       126","        68","       74","        11",,,,,,,"9","5.9","1.56",,,,,,,,,,,,,,,,"31.05",,"37.1",,,,,,,,,,,
"USC00200094","ALBION, MI US","2015",,,,"       137","        71",,,"        27","       141","        61","       139","         0","-18",,,"1.80","88","7609",,,"7609",,,,,,,,,,,"37.38",,,"46.8","57.4","36.2",,,,,,,,
"USC00205662","CENTRAL MICHIGAN UNIVERSITY, MI US","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIET0005","GRAND LEDGE 0.3 NNE, MI US","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40.48",,,,,,,,,,,,,
"US1MICS0005","NILES 3.5 E, MI US","2015",,,,"       142","        83",,,,,,,,,,,"1.80",,,,,,,,,,,,,,,,"35.51",,,,,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2015","9.6","614","614","       138","        71","       74","        18","        10","       122","        55","       142","         2","-13","10","8.8","2.05","91","7071",,,"7071",,,,,,,,,,,"33.17","      46.4","52.3","48.9","58.2","39.6","   130265","       230","       280",,,"45.0","66.0",
"USC00204655","LAPEER WWTP, MI US","2015",,"543","543","       133","        65",,,"        23","       134","        66","       139","         5","-24",,,"1.67","91","7547",,,"7547",,,,,,,,,,,"29.35",,,"47.1","57.8","36.4",,,,,,,,
