,Year,Value
9884,2015,240
10049,2014,310
10227,2013,290
10401,2012,280
10582,2011,260
10770,2010,250
10953,2009,270
11127,2008,290
11310,2007,300
11503,2006,320
11688,2005,360
11861,2004,310
12043,2003,350
12223,2002,330
12402,2001,350
12559,2000,280
12714,1999,280
12846,1998,290
