"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","2011",,"681","681","       152","        93",,,"         9","       142","        45","       129","        23","-8",,,"2.61","97","6818",,,"6818",,,,,,,,,,,"42.29",,"48.0","58.6","37.3",,,,,,,
"US1MIOW0003","WALKER 3.2 W, MI US","42.98804","-85.8103","218.8","2011",,,,"       177","        85",,,,,,,,,,,"3.74",,,,,,,,,,,,,,,,"47.78",,,,,,,,,,,
"US1MIMB0022","UTICA 0.8 NNW, MI US","42.639577","-83.027232","198.4","2011",,,,"       164","        96",,,,,,,,,,,"2.34",,,,,,,,,,,,,,,,"45.00",,,,,,,,,,,
"USC00203268","GLADSTONE 4 NW, MI US","45.8806","-87.0911","225.9","2011",,,,"       127","        51",,,,,,,,,,,"2.30",,,,,,,,,,,,,,,,"26.56",,,,,,,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00202851","FLINT 7 W, MI US","43.0377","-83.7694","207.0","2011",,"676","676","       142","        77",,,"         9","       144","        60","       124","        10","-9",,,"5.30","97","7258",,,"7258",,,,,,,,,,,"41.95",,"47.7","56.8","38.5",,,,,,,
"USC00205567","MONTAGUE 4 NW, MI US","43.4614","-86.4175","198.1","2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200552","BATTLE CREEK 5 NW, MI US","42.3678","-85.2634","281.3","2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203025","FREMONT 4 WSW, MI US","43.44527","-86.02646","242.9","2011",,"469","469","       130","        76",,,"         5","       149","        62","       117","         4","-9",,,"2.07","90","7421",,,"7421",,,,,,,,,,,"36.93",,"46.5","55.6","37.4",,,,,,,
"USC00201522","CHESANING, MI US","43.1936","-84.1113","189.0","2011",,,,"       125","        75",,,,,,,,,,,"5.22",,,,,,,,,,,,,,,,"44.12",,,,,,,,,,,
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","2011",,"708","708","       168","       100",,"        23","        10","       137","        51","       126","        19","-9",,"5.0","2.13","98",,,,,,,,,,,,,,,"50.25","49.4","48.4","57.9","38.8",,,,,,,
