,Year,Value
9879,2015,290
10044,2014,270
10222,2013,230
10396,2012,250
10576,2011,230
10764,2010,280
10947,2009,260
11121,2008,280
11304,2007,320
11497,2006,340
11682,2005,360
11855,2004,270
12037,2003,320
12217,2002,300
12396,2001,320
12553,2000,250
12708,1999,280
12840,1998,260
