"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00201802","CORNELL 5 SE, MI US","45.8269","-87.1589","242.0","2010",,"403","403","        96","        60",,"         6","         5","       147","        65","       107","         0","-4",,"5.0","3.25","89","7080","75","54","7080","81","58","25","4","32","5","49","27","53","30","32.57","15.0","46.0","56.3","35.7",,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","2010",,"655","655","       118","        66","       89","        17","         8","       167","        60","       147","        14","-10","10","4.6","1.50","94","6991",,,"6991",,,,,,,,,,,"28.57","52.5","48.0","60.2","35.7",,,,,,,
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","2010",,,,"       177","        90","      129","        44",,,,,,,"32","11.8","2.43",,,,,,,,,,,,,,,,"40.73","150.7",,,,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","2010",,"812","812","       102","        66","       60","        11","         1","       131","        68","       147","        10","0","10","5.0","1.93","93","5983",,,"5983",,,,,,,,,,,"32.88","31.0","49.7","59.3","40.1",,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","46.3414","-86.9242","265.2","2010",,"307","307","       174","        87","      116","        39","        16","       183","        73","       109","         5","-10","25","8.0","1.44","93","8281",,,"8281","78",,,,"33",,,,"51",,"37.03","131.2","43.5","54.9","32.1",,,,,,,
"USC00203421","GREENLAND 6 N, MI US","46.8736","-89.1006","241.1","2010",,,,"       144","        71","      123","        38",,,,,,,"33","11.1","1.52",,,,,,,,,,,,,,,,"27.91","122.3",,,,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","2010",,,,"       107","        60","       84","         9",,,,,,,"14","5.5","1.41",,,,,,,,,,,,,,,,"30.22","31.6",,,,,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","2010",,"1046","1046","       105","        73",,"        32","         1","       128","        51","       151","        30","-9",,"12.0","2.14","94",,,,,,,,,,,,,,,"34.80","117.0","52.2","61.5","42.8",,,,,,,
"USC00205603","MORENCI, MI US","41.7216","-84.2147","234.7","2010",,,,"       113","        67","       61","         6",,,,,,,"9","8.1","2.05",,,,,,,,,,,,,,,,"33.04","26.4",,,,,,,,,,
"USC00208443","VASSAR, MI US","43.3656","-83.5828","192.0","2010",,"671","671","       120","        59","       87","        14","         4","       160","        64","       138","         9","-8","9","6.2","1.32","94","6807",,,"6807",,,,,,,,,,,"22.62","42.1","47.8","58.7","37.0",,,,,,,
