"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00201802","CORNELL 5 SE, MI US","45.8269","-87.1589","242.0","2009",,"153","153","       102","        59","       95","        12","        36","       174","        76","       105","         1","-14","16","5.0","1.60","93","8687",,,"8687",,,,,,,,,,,"23.76","36.2","41.5","52.3","30.7",,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","2009",,"277","277","       149","        81","       76","        21","        17","       173","        66","       128","         4","-15","11","5.2","2.38","96","7599",,,"7599",,,,,,,,,,,"37.57","71.5","44.9","56.8","33.1",,,,,,,
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","2009",,,,,,,"        55",,,,,,,,"12.6",,,,,,,,,,,,,,,,,,"182.8",,,,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","2009",,"364","364","       123","        88","       48","         8","        10","       137","        64","       124","         4","-16","9","4.5","2.00","92","6680",,,"6680",,,,,,,,,,,"38.98","24.7","47.0","56.8","37.2",,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","46.3414","-86.9242","265.2","2009",,"114","114","       177","        76","      121","        49","        42","       194","        85","        94","         1","-26","30","22.0","2.35","91","9387",,,"9387",,,,,,,,,,,"34.68","167.4","39.5","50.5","28.6",,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","2009",,,,"       143","        76","       71","        18",,,,,,,"12","4.0","1.77",,,,,,,,,,,,,,,,"37.51","43.2",,,,,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","2009",,,,,,,"        39",,,,,,,,"10.0",,,"6115",,,"6115",,,,,,,,,,,,"118.0",,,,,,,,,,
"USC00205603","MORENCI, MI US","41.7216","-84.2147","234.7","2009",,"414","414","       133","        76","       50","        12","         8","       147","        49","       138","         5","-18","11","6.0","2.67","95",,,,,,,,,,,,,,,"36.72","31.8","47.4","58.6","36.2",,,,,,,
"US1MIAP0001","ALPENA 1.6 SSW, MI US","45.051565","-83.44876","178.9","2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31.21",,,,,,,,,,,
"USC00208443","VASSAR, MI US","43.3656","-83.5828","192.0","2009",,"255","255","       140","        71","       75","        15","        16","       163","        62","       120","         2","-20","13","6.2","1.83","93","7584",,,"7584",,,,,,,,,,,"32.95","42.2","45.3","56.3","34.2",,,,,,,
"USC00208202","TIPTON 2 WNW, MI US","42.0283","-84.1108","295.7","2009",,,,,,"       68","        16",,,,,,,"12","5.6",,,"6700",,,"6700",,,,,,,,,,,,"43.6",,,,,,,,,,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23666","-83.52638","215.7","2009",,"427","427","       139","        65",,,"        12","       140","        57","       127","         4","-17",,,"1.34","94","6994",,,"6994",,,,,,,,,,,"32.34",,"47.6","57.7","37.5",,,,,,,
"USC00201250","CARLETON 2 W, MI US","42.0636","-83.4358","191.1","2009",,"359","359",,,,,"        12","       138","        61","       124","         4","-20",,,,"93",,,,,,,,,,,,,,,,,"47.2","57.0","37.4",,,,,,,
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","2009",,,,,,,,,,,,,,,,,,"8339",,,"8339",,,,,,,,,,,,,,,,,,,,,,
"USC00207350","SANDUSKY, MI US","43.4194","-82.8191","235.9","2009",,"241","241","       133","        76","       52","        10","         8","       148","        66","       100","         1","-8","9","3.0","1.80","90","7635",,,"7635",,,,,,,,,,,"33.87","19.2","45.1","54.0","36.2",,,,,,,
"US1MIBN0003","BUCHANAN 1.4 ESE, MI US","41.818287","-86.342251","231.3","2009",,,,"       172","        83",,,,,,,,,,,"2.10",,,,,,,,,,,,,,,,"40.84",,,,,,,,,,,
