,Year,Value
8881,2020,28
9024,2019,30
9183,2018,28
9337,2018,28
9408,2017,27
9561,2017,27
9639,2016,25
9860,2015,26
10028,2014,24
10207,2013,23
10381,2012,21
10558,2011,22
10746,2010,16
10872,2010,16
10929,2009,22
11103,2008,23
11286,2007,21
11473,2006,22
11658,2005,19
11831,2004,20
12013,2003,21
12193,2002,15
12372,2001,20
12529,2000,17
12684,1999,18
12816,1998,16
