,Year,Value
9227,2018,580
9452,2017,590
9684,2016,600
9891,2015,580
10054,2014,580
10232,2013,575
10406,2012,565
10588,2011,490
10776,2010,525
10959,2009,555
11139,2008,525
11322,2007,490
11515,2006,530
11700,2005,575
11873,2004,560
12055,2003,530
12235,2002,470
12414,2001,460
12571,2000,500
12732,1999,450
12864,1998,470
