"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00201802","CORNELL 5 SE, MI US","45.8269","-87.1589","242.0","2008",,"218","218","       125","        71","      140","        29","        36","       179","        85","       105","         1","-13","19","10.0","1.93","90","8335",,,"8335",,,,,,,,,,,"25.19","87.8","41.2","52.2","30.2",,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","2008",,"454","454","       158","        90","      107","        45","        19","       176","        61","       145","         5","-14","15","11.8","2.65","92","7218",,,"7218",,,,,,,,,,,"41.93","163.9","45.6","57.3","33.8",,,,,,,
"USC00200716","BERKLEY, MI US","42.4933","-83.175","202.7","2008",,,,,,,,,,,,,,,,,,"6140",,,"6140",,,,,,,,,,,,,,,,,,,,,,
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","2008",,,,,,"      156",,,,,,,,"27",,,,"9221",,,"9221",,,,,,,,,,,"39.54","188.9",,,,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","2008",,"516","516","       131","        86",,"        18","         4","       139","        65","       141","         5","-7",,"8.0","2.90","92","6158",,,"6158",,,,,,,,,,,"40.12","52.4","47.4","57.2","37.5",,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","46.3414","-86.9242","265.2","2008",,"112","112","       192","       103","      156","        61","        50","       196","        87","       100","         1","-25","22","10.0","1.26","90","9348",,,"9348","80",,,,"32",,,,"49",,"35.21","218.1","39.0","51.2","26.7",,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","2008",,"674","674",,,,"        47","         1","       130","        46","       136","        11","-2",,"15.0",,"94","5659",,,"5659",,,,,,,,,,,,"203.0","49.3","59.0","39.6",,,,,,,
"USC00205603","MORENCI, MI US","41.7216","-84.2147","234.7","2008",,,,,,,,,,,,,,,,,,"6454",,,"6454",,,,,,,,,,,,,,,,,,,,,,
"USC00208443","VASSAR, MI US","43.3656","-83.5828","192.0","2008",,"349","349","       146","        88","      101","        34","        15","       161","        56","       136","         1","-12","16","14.5","2.48","91","7222",,,"7222",,,,,,,,,,,"39.13","96.9","45.4","56.5","34.4",,,,,,,
