,Year,Value
8953,2020,160
9096,2019,150
9287,2018,190
9512,2017,155
9748,2016,155
9946,2015,155
10100,2014,160
10278,2013,155
10442,2012,150
10629,2011,145
10817,2010,140
11000,2009,110
11180,2008,145
11363,2007,115
11556,2006,150
11741,2005,145
11914,2004,140
12096,2003,140
12276,2002,120
12461,2001,120
12618,2000,160
