category,col_name
6,WHHT2
6,WHWT
6,WHOT
6,PCTERM
6,PCTERMN
6,PCTRMC
6,MLTMON
6,MLTMNC
6,FLATC
6,LAPTPN
6,LAPTPC
6,PRNTRN
6,PRNTYP
6,SERVER
6,SERVERN
6,SERVERC
6,DATACNTR
6,DCNTRSFC
6,TRNGRM
6,STDNRM
6,WBOARDS
6,TVVIDEO
6,TVVIDEON
6,RGSTR
6,RGSTRN
6,COPIER
6,COPIERN
6,FAX
7,LTOHRP
7,LOHRPC
7,LTNR24
7,LTNHRP
7,LNHRPC
7,RDLTNF
7,FLUOR
7,CFLR
7,BULB
7,HALO
7,HID
7,LED
7,OTLT
7,FLUORP
7,CFLRP
7,BULBP
7,HALOP
7,HIDP
7,LEDP
7,OTLTP
7,EMCSLT
7,SCHED
7,OCSN
7,DIM
7,DAYHARV
7,TRIM
7,PLGCTRL
7,DRLGHT
7,LTEXPC
7,PKLT
7,WINTYP
7,TINT
7,REFL
7,AWN
7,SKYLT
7,DAYLTP
10,HDD65
10,CDD65
10,MFUSED
10,DHUSED
10,DHHT1
10,DHHT2
10,DHCOOL
10,DHCOOK
10,DHWATR
10,DHMANU
10,DHOTH
10,MFHTBTU
10,MFCLBTU
10,MFVNBTU
10,MFWTBTU
10,MFLTBTU
10,MFCKBTU
10,MFRFBTU
10,MFOFBTU
10,MFPCBTU
10,MFOTBTU
10,ELHTBTU
10,ELCLBTU
10,ELVNBTU
10,ELWTBTU
10,ELLTBTU
10,ELCKBTU
10,ELRFBTU
10,ELOFBTU
10,ELPCBTU
10,ELOTBTU
10,NGHTBTU
10,NGCLBTU
10,NGWTBTU
10,NGCKBTU
10,NGOTBTU
10,FKHTBTU
10,FKCLBTU
10,FKWTBTU
10,FKCKBTU
10,FKOTBTU
10,DHHTBTU
10,DHCLBTU
10,DHWTBTU
10,DHCKBTU
10,DHOTBTU
10,PUBCLIM
get rid of,ZSQFT
get rid of,ZSQFTC
get rid of,ZWLCNS
get rid of,ZRFCNS
get rid of,ZRFCOOL
get rid of,ZRFTILT
get rid of,ZBLDSHP
get rid of,ZGLSSPC
get rid of,ZEQGLSS
get rid of,ZSUNGLS
get rid of,ZNFLOOR
get rid of,ZBASEMNT
get rid of,ZFLCEILHT
get rid of,ZATTIC
get rid of,ZELEVTR
get rid of,ZNELVTR
get rid of,ZESCLTR
get rid of,ZNESLTR
get rid of,ZYRCON
get rid of,ZYRCONC
get rid of,ZRENOV
get rid of,ZRENADD
get rid of,ZRENRDC
get rid of,ZRENCOS
get rid of,ZRENINT
get rid of,ZRENRFF
get rid of,ZRENWLL
get rid of,ZRENWIN
get rid of,ZRENHVC
get rid of,ZRENLGT
get rid of,ZRENPLB
get rid of,ZRENELC
get rid of,ZRENINS
get rid of,ZRENSAF
get rid of,ZRENSTR
get rid of,ZRENOTH
get rid of,ZDRYCL
get rid of,ZCUBE
get rid of,ZCUBEC
get rid of,ZCUBELOC
get rid of,ZRWSEAT
get rid of,ZPBSEAT
get rid of,ZEDSEAT
get rid of,ZFDSEAT
get rid of,ZHCBED
get rid of,ZNRSBED
get rid of,ZLODGRM
get rid of,ZFACIL
get rid of,ZFEDFAC
get rid of,ZFACACT
get rid of,ZPLANT
get rid of,ZFACDST
get rid of,ZFACDHW
get rid of,ZFACDCW
get rid of,ZFACELC
get rid of,ZBLDPLT
get rid of,ZGOVOWN
get rid of,ZGOVTYP
get rid of,ZOWNTYPE
get rid of,ZNOCC
get rid of,ZNOCCAT
get rid of,ZOWNOCC
get rid of,ZOWNOPR
get rid of,ZOWNPPR
get rid of,ZNWNPPR
get rid of,ZNWNOPR
get rid of,ZWHOPPR
get rid of,ZMONUSE
get rid of,ZOCCUPYP
get rid of,ZLODOCCP
get rid of,ZOPEN24
get rid of,ZOPNMF
get rid of,ZOPNWE
get rid of,ZWKHRS
get rid of,ZWKHRSC
get rid of,ZNWKER
get rid of,ZNWKERC
get rid of,ZHT1
get rid of,ZHT2
get rid of,ZCOOL
get rid of,ZWATR
get rid of,ZCOOK
get rid of,ZMANU
get rid of,ZCAPGEN
get rid of,ZGENR
get rid of,ZELUSED
get rid of,ZNGUSED
get rid of,ZFKUSED
get rid of,ZPRUSED
get rid of,ZSTUSED
get rid of,ZHWUSED
get rid of,ZCWUSED
get rid of,ZWOUSED
get rid of,ZCOUSED
get rid of,ZSOUSED
get rid of,ZOTUSED
get rid of,ZELHT1
get rid of,ZNGHT1
get rid of,ZFKHT1
get rid of,ZPRHT1
get rid of,ZSTHT1
get rid of,ZHWHT1
get rid of,ZWOHT1
get rid of,ZCOHT1
get rid of,ZSOHT1
get rid of,ZOTHT1
get rid of,ZELHT2
get rid of,ZNGHT2
get rid of,ZFKHT2
get rid of,ZPRHT2
get rid of,ZSTHT2
get rid of,ZHWHT2
get rid of,ZWOHT2
get rid of,ZCOHT2
get rid of,ZSOHT2
get rid of,ZOTHT2
get rid of,ZHEATP
get rid of,ZHTLS50
