category,col_name
0,PUBID
0,REGION
0,CENDIV
0,PBA
1,SQFT
1,SQFTC
1,WLCNS
1,RFCNS
1,RFCOOL
1,RFTILT
1,BLDSHP
1,GLSSPC
1,NFLOOR
1,BASEMNT
1,FLCEILHT
1,ATTIC
1,ELEVTR
1,NELVTR
1,ESCLTR
1,NESLTR
1,YRCONC
1,RENOV
1,RENCOS
1,RENADD
1,RENRDC
1,RENINT
1,RENRFF
1,RENWIN
1,RENHVC
1,RENLGT
1,RENPLB
1,RENELC
1,RENINS
1,RENSAF
1,RENSTR
1,RENOTH
1,ONEACT
1,DRYCL
1,VACANT
1,PBAPLUS
1,RWSEAT
1,PBSEAT
1,EDSEAT
1,FDSEAT
get rid of,DRVTHRU
1,HCBED
1,NRSBED
1,LODGRM
1,COURT
1,FACIL
1,FEDFAC
1,FACACT
1,MANIND
1,PLANT
1,FACDST
1,FACDHW
1,FACDCW
1,FACELC
1,BLDPLT
2,GOVOWN
2,GOVTYP
2,OWNTYPE
2,NOCC
2,NOCCAT
2,OWNOCC
2,OWNOPR
2,OWNPPR
2,NWNPPR
2,NWNOPR
2,WHOPPR
3,MONUSE
3,OCCUPYP
3,LODOCCP
3,OPEN24
3,OPNMF
3,OPNWE
3,WKHRS
3,WKHRSC
3,NWKER
3,NWKERC
4,HT1
4,HT2
4,COOL
4,WATR
4,COOK
4,MANU
4,EGYUSED
4,ELUSED
4,NGUSED
4,FKUSED
4,PRUSED
4,STUSED
4,HWUSED
4,CWUSED
4,WOUSED
4,COUSED
4,SOUSED
4,OTUSED
4,FKTYPE
4,SOPANEL
4,SOTHERM
4,HEATP
4,HTLS50
4,ELHT1
4,NGHT1
4,FKHT1
4,PRHT1
4,STHT1
4,HWHT1
4,WOHT1
4,COHT1
4,SOHT1
4,OTHT1
4,ELHT2
4,NGHT2
4,FKHT2
4,PRHT2
4,STHT2
4,HWHT2
4,WOHT2
4,COHT2
4,SOHT2
4,OTHT2
4,PKGHT
