HDD65,CDD65,MFHTBTU,MFCLBTU,MFVNBTU,MFWTBTU,MFLTBTU,MFCKBTU,MFRFBTU,MFOFBTU,MFPCBTU,MFOTBTU,ELHTBTU,ELCLBTU,ELVNBTU,ELWTBTU,ELLTBTU,ELCKBTU,ELRFBTU,ELOFBTU,ELPCBTU,ELOTBTU,NGHTBTU,NGCLBTU,NGWTBTU,NGCKBTU,NGOTBTU,FKHTBTU,FKCLBTU,FKWTBTU,FKCKBTU,FKOTBTU,DHHTBTU,DHCLBTU,DHWTBTU,DHCKBTU,DHOTBTU,MFUSED,DHUSED,DHHT1,DHHT2,DHCOOL,DHCOOK,DHWATR,DHMANU,DHOTH,PUBCLIM
140,4540,0.0,2242.0,7473.0,45.0,24335.0,0.0,0.0,212.0,2902.0,28861.0,0.0,2242.0,7473.0,45.0,24335.0,0.0,0.0,212.0,2902.0,28861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
5252,1307,267029.0,358093.0,203818.0,38309.0,732155.0,0.0,8886.0,41990.0,192958.0,293108.0,67256.0,358093.0,203818.0,38309.0,732155.0,0.0,8886.0,41990.0,192958.0,293108.0,199773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3525,2170,62729.0,1445.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,5262.0,0.0,1445.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5262.0,62729.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3888,1855,163992.0,18569.0,51771.0,10873.0,35559.0,0.0,0.0,264798.0,12060.0,40181.0,0.0,18569.0,51771.0,0.0,35559.0,0.0,0.0,264798.0,12060.0,40181.0,163992.0,0.0,10873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
779,1741,0.0,19548.0,17265.0,636.0,66078.0,0.0,0.0,8984.0,74838.0,25239.0,0.0,19548.0,17265.0,636.0,66078.0,0.0,0.0,8984.0,74838.0,25239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2406,3060,734103.0,222714.0,267314.0,55294.0,106769.0,235268.0,150276.0,78387.0,53785.0,320664.0,42758.0,222714.0,267314.0,0.0,106769.0,39522.0,150276.0,78387.0,53785.0,320664.0,691345.0,0.0,55294.0,195746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3979,1458,275919.0,9062.0,15552.0,32127.0,12875.0,124072.0,25377.0,3918.0,0.0,53034.0,5205.0,9062.0,15552.0,0.0,12875.0,0.0,25377.0,3918.0,0.0,53034.0,270714.0,0.0,32127.0,124072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5066,1134,3306190.0,1188579.0,1322661.0,372381.0,884519.0,303112.0,1207044.0,234117.0,229685.0,690212.0,248982.0,1188579.0,1322661.0,47919.0,884519.0,109125.0,1207044.0,234117.0,229685.0,690212.0,2921656.0,0.0,324462.0,193987.0,0.0,135552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3334,1823,188851.0,113422.0,73798.0,124452.0,201372.0,0.0,8305.0,25943.0,61484.0,212721.0,25700.0,113422.0,73798.0,0.0,201372.0,0.0,8305.0,25943.0,61484.0,185956.0,163151.0,0.0,124452.0,0.0,26765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5510,903,640777.0,117965.0,343128.0,518.0,465287.0,0.0,57932.0,56890.0,115062.0,796076.0,0.0,117965.0,343128.0,518.0,465287.0,0.0,57932.0,56890.0,115062.0,796076.0,0.0,0.0,0.0,0.0,0.0,640777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5594,666,59222.0,9126.0,74371.0,1030.0,17626.0,0.0,3669.0,21052.0,43781.0,38173.0,59222.0,9126.0,74371.0,1030.0,17626.0,0.0,3669.0,21052.0,43781.0,38173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2343,1865,31078.0,7476.0,16661.0,20.0,17450.0,0.0,1550.0,145.0,1966.0,17929.0,3095.0,7476.0,16661.0,20.0,17450.0,0.0,1550.0,145.0,1966.0,17929.0,27983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5720,904,11208.0,0.0,21.0,110.0,0.0,2685.0,3835.0,5125.0,3328.0,15441.0,11208.0,0.0,21.0,110.0,0.0,2685.0,3835.0,5125.0,3328.0,15441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1037,3659,473661.0,2920981.0,2882533.0,485640.0,2408366.0,647955.0,7062475.0,185574.0,134029.0,1980303.0,68447.0,2920981.0,2882533.0,145706.0,2408366.0,200419.0,7062475.0,185574.0,134029.0,1696474.0,405214.0,0.0,339934.0,447536.0,283829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2960,1404,148881.0,2344704.0,328918.0,66895.0,1057419.0,97103.0,258126.0,710424.0,1629684.0,496794.0,148881.0,2344704.0,328918.0,66895.0,1057419.0,97103.0,258126.0,710424.0,1629684.0,496794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4266,1212,1865500.0,180751.0,57989.0,6812.0,121339.0,0.0,3761.0,27416.0,101623.0,296315.0,0.0,180751.0,57989.0,6812.0,121339.0,0.0,3761.0,27416.0,101623.0,296315.0,1865500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6061,782,151115.0,0.0,590.0,7760.0,8157.0,0.0,1191.0,0.0,0.0,18153.0,0.0,0.0,590.0,0.0,8157.0,0.0,1191.0,0.0,0.0,18153.0,151115.0,0.0,7760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8084,880,61273.0,28845.0,95584.0,7270.0,41053.0,302435.0,220185.0,1003.0,8474.0,40010.0,0.0,28845.0,95584.0,7270.0,41053.0,142615.0,220185.0,1003.0,8474.0,40010.0,61273.0,0.0,0.0,159820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6012,710,1785570.0,17311.0,46292.0,21816.0,136923.0,0.0,0.0,7078.0,28406.0,155459.0,38133.0,17311.0,46292.0,0.0,136923.0,0.0,0.0,7078.0,28406.0,155459.0,1747437.0,0.0,21816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4645,1105,178213.0,41414.0,187866.0,4442.0,78262.0,0.0,3093.0,52024.0,69502.0,79922.0,0.0,41414.0,187866.0,0.0,78262.0,0.0,3093.0,52024.0,69502.0,79922.0,178213.0,0.0,4442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4276,1321,70346981.0,19459450.0,10629716.0,16672068.0,10101547.0,10134221.0,5793165.0,6078475.0,12862918.0,14164663.0,0.0,19459450.0,10629716.0,0.0,10101547.0,0.0,5793165.0,6078475.0,12862918.0,13838572.0,70152928.0,0.0,16661554.0,10134221.0,0.0,194053.0,0.0,10514.0,0.0,326091.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
